path,text to play,options,description
system/0.wav,0,,
system/1.wav,1,,
system/2.wav,2,,
system/3.wav,3,,
system/4.wav,4,,
system/5.wav,5,,
system/6.wav,6,,
system/7.wav,7,,
system/8.wav,8,,
system/9.wav,9,,
system/10.wav,10,,
system/ten.wav,十,,
system/hundred.wav,百,,
system/thousand.wav,千,,
system/ten_thousand.wav,万,,
system/zero.wav,零,,
system/mvolt.wav,毫伏,,
system/volt.wav,伏,,
system/mamp.wav,毫安,,
system/amp.wav,安,,
system/mah.wav,毫安时,,
system/ah.wav,安时,,
system/watt.wav,瓦,,
system/mwatt.wav,毫瓦,,
system/cm.wav,厘米,,
system/meter.wav,米,,
system/kilometers.wav,公里,,
system/km.wav,千米,,
system/foot.wav,英尺,,
system/mile.wav,英里,,
system/cmps.wav,厘米每秒,,
system/meterps.wav,米每秒,,
system/meterpm.wav,米每分,,
system/kph.wav,千米每小时,,
system/footps.wav,英尺每秒,,
system/footpm.wav,foot per minute,,
system/mph.wav,英里每小时,,
system/celsius.wav,摄氏度,,
system/fahrenheit.wav,华氏度,,
system/percent.wav,百分之,,
system/microsecond.wav,微秒,,
system/millisecond.wav,毫秒,,
system/second.wav,秒,,
system/minute.wav,分,,
system/hour.wav,小时,,
system/db.wav,db,,
system/dbm.wav,dBm,,
system/hz.wav,赫兹,,
system/mhz.wav,Mega Hertz,,
system/g.wav,g,,
system/degree.wav,度,,
system/rad.wav,弧度,,
system/ml.wav,毫升,,
system/mlpm.wav,毫升每分钟,,
system/mlpp.wav,毫升每脉冲,,
system/rpm.wav, 转每分钟,,
system/pa.wav, 帕,,
system/kpa.wav, 千帕,,
system/mpa.wav, 兆帕,,
system/bar.wav, 巴,,
system/psi.wav, 磅力每平方英寸,,
system/minus.wav,负,,
system/point1.wav,点1,,
system/point2.wav,点2,,
system/point3.wav,点3,,
system/point4.wav,点4,,
system/point5.wav,点5,,
system/point6.wav,点6,,
system/point7.wav,点7,,
system/point8.wav,点8,,
system/point9.wav,点9,,
system/hello.wav,欢迎使用Ethos,,
system/down.wav,向下,,
system/middle.wav,居中,,
system/up.wav,向上,,
system/trim-center.wav,trim 回中,,
system/trim-max.wav,到达最大值,,
system/trim-min.wav,到达最小值,,
system/no-failsafe.wav,失控保护未设置,,
system/inactivity.wav,长时间未操作,,
system/modelfile-version-error.wav,模型文件版本不匹配,,
system/pot-warning.wav,电位器警报,,
system/low-battery.wav,遥控器电量低,,
system/no-sound.wav,遥控器处于静音模式,,
system/low-rtc-battery.wav,RTC 电压低,,
system/switch-warning.wav,开关警报,,
system/swr-warning.wav,SWR警报,,
system/system-file-version-error.wav,系统文件版本不匹配,,
system/rssi-lost.wav,遥测数据丢失,,
system/rssi-recovered.wav,遥测数据恢复,,
system/rssi-critical-warning.wav,信号严重偏低,,
system/rssi-low-warning.wav,信号偏低,,
system/rssi-ext-lost.wav,外置模块遥测数据丢失,,
system/rssi-ext-recovered.wav,外置模块遥测数据恢复,,
system/rssi-ext-critical-warning.wav,外置模块信号严重偏低,,
system/rssi-ext-low-warning.wav,外置模块信号偏低,,
system/rssi-int-lost.wav,内置模块遥测数据丢失,,
system/rssi-int-recovered.wav,内置模块遥测数据恢复,,
system/rssi-int-critical-warning.wav,内置模块信号严重偏低,,
system/rssi-int-low-warning.wav,内置模块信号偏低,,
system/rssi-2g4-lost.wav,2 giga 4 telemetry lost,,
system/rssi-2g4-recovered.wav,2 giga 4 telemetry recovered,,
system/rssi-2g4-critical-warning.wav,2 giga 4 RSSI critical warning,,
system/rssi-2g4-low-warning.wav,2 giga 4 RSSI low warning,,
system/rssi-lora-lost.wav,lora telemetry lost,,
system/rssi-lora-recovered.wav,lora telemetry recovered,,
system/rssi-lora-critical-warning.wav,lora RSSI critical warning,,
system/rssi-lora-low-warning.wav,lora RSSI low warning,,
system/rssi-900m-lost.wav,900 mega telemetry lost,,
system/rssi-900m-recovered.wav,900 mega telemetry recovered,,
system/rssi-900m-critical-warning.wav,900 mega RSSI critical warning,,
system/rssi-900m-low-warning.wav,900 mega RSSI low warning,,
system/rssi-int2g4-lost.wav,内置2.4G遥测数据丢失,,
system/rssi-int2g4-recovered.wav,内置2.4G遥测数据恢复,,
system/rssi-int2g4-critical-warning.wav,内置2.4G信号严重偏低,,
system/rssi-int2g4-low-warning.wav,内置2.4G信号偏低,,
system/rssi-intlora-lost.wav,Internal module lora telemetry lost,,
system/rssi-intlora-recovered.wav,Internal module lora telemetry recovered,,
system/rssi-intlora-critical-warning.wav,Internal module lora RSSI critical warning,,
system/rssi-intlora-low-warning.wav,Internal module lora RSSI low warning,,
system/rssi-int900m-lost.wav,内置900兆遥测数据丢失,,
system/rssi-int900m-recovered.wav,内置900兆遥测数据恢复,,
system/rssi-int900m-critical-warning.wav,内置900兆信号严重偏低,,
system/rssi-int900m-low-warning.wav,内置900兆信号偏低,,
system/rssi-ext2g4-lost.wav,External module 2 giga 4 telemetry lost,,
system/rssi-ext2g4-recovered.wav,External module 2 giga 4 telemetry recovered,,
system/rssi-ext2g4-critical-warning.wav,External module 2 giga 4 RSSI critical warning,,
system/rssi-ext2g4-low-warning.wav,External module 2 giga 4 RSSI low warning,,
system/rssi-extlora-lost.wav,External module lora telemetry lost,,
system/rssi-extlora-recovered.wav,External module lora telemetry recovered,,
system/rssi-extlora-critical-warning.wav,External module lora RSSI critical warning,,
system/rssi-extlora-low-warning.wav,External module lora RSSI low warning,,
system/rssi-ext900m-lost.wav,External module 900 mega telemetry lost,,
system/rssi-ext900m-recovered.wav,External module 900 mega telemetry recovered,,
system/rssi-ext900m-critical-warning.wav,External module 900 mega RSSI critical warning,,
system/rssi-ext900m-low-warning.wav,External module 900 mega RSSI low warning,,
system/trainer-lost.wav,教练信号丢失,,
system/trainer-recovered.wav,教练信号恢复,,
system/no-calibration.wav,摇杆没有校准,,
system/throttle-warning.wav,油门不在空闲状态,,
system/register.wav,注册,,
system/bind.wav,对码,,
system/range-check.wav,范围检测,,
system/rx-on-warning.wav,接收机还在工作,,
system/time_out.wav,超时,,
system/sensor-lost.wav,传感器信号丢失,,
system/sensor-conflict.wav,Sensor conflict,,
system/vfr-low-warning.wav,有效帧率过低,,
system/function-switches-warning.wav,功能开关警报,,
