path,text to play,options,description
system/0.wav,0,,
system/1.wav,1,,
system/2.wav,2,,
system/3.wav,3,,
system/4.wav,4,,
system/5.wav,5,,
system/6.wav,6,,
system/7.wav,7,,
system/8.wav,8,,
system/9.wav,9,,
system/10.wav,10,,
system/11.wav,11,,
system/12.wav,12,,
system/13.wav,13,,
system/14.wav,14,,
system/15.wav,15,,
system/16.wav,16,,
system/17.wav,17,,
system/18.wav,18,,
system/19.wav,19,,
system/20.wav,20,,
system/21.wav,21,,
system/22.wav,22,,
system/23.wav,23,,
system/24.wav,24,,
system/25.wav,25,,
system/26.wav,26,,
system/27.wav,27,,
system/28.wav,28,,
system/29.wav,29,,
system/30.wav,30,,
system/31.wav,31,,
system/32.wav,32,,
system/33.wav,33,,
system/34.wav,34,,
system/35.wav,35,,
system/36.wav,36,,
system/37.wav,37,,
system/38.wav,38,,
system/39.wav,39,,
system/40.wav,40,,
system/41.wav,41,,
system/42.wav,42,,
system/43.wav,43,,
system/44.wav,44,,
system/45.wav,45,,
system/46.wav,46,,
system/47.wav,47,,
system/48.wav,48,,
system/49.wav,49,,
system/50.wav,50,,
system/51.wav,51,,
system/52.wav,52,,
system/53.wav,53,,
system/54.wav,54,,
system/55.wav,55,,
system/56.wav,56,,
system/57.wav,57,,
system/58.wav,58,,
system/59.wav,59,,
system/60.wav,60,,
system/61.wav,61,,
system/62.wav,62,,
system/63.wav,63,,
system/64.wav,64,,
system/65.wav,65,,
system/66.wav,66,,
system/67.wav,67,,
system/68.wav,68,,
system/69.wav,69,,
system/70.wav,70,,
system/71.wav,71,,
system/72.wav,72,,
system/73.wav,73,,
system/74.wav,74,,
system/75.wav,75,,
system/76.wav,76,,
system/77.wav,77,,
system/78.wav,78,,
system/79.wav,79,,
system/80.wav,80,,
system/81.wav,81,,
system/82.wav,82,,
system/83.wav,83,,
system/84.wav,84,,
system/85.wav,85,,
system/86.wav,86,,
system/87.wav,87,,
system/88.wav,88,,
system/89.wav,89,,
system/90.wav,90,,
system/91.wav,91,,
system/92.wav,92,,
system/93.wav,93,,
system/94.wav,94,,
system/95.wav,95,,
system/96.wav,96,,
system/97.wav,97,,
system/98.wav,98,,
system/99.wav,99,,
system/cien.wav,cien,,
system/100.wav,ciento,,
system/200.wav,200,,
system/300.wav,300,,
system/400.wav,400,,
system/500.wav,500,,
system/600.wav,600,,
system/700.wav,700,,
system/800.wav,800,,
system/900.wav,900,,
system/mvolt.wav,milivoltios,,
system/volt.wav,voltios,,
system/mamp.wav,milliamperios,,
system/amp.wav,amperios,,
system/mah.wav,milliamperios hora,,
system/ah.wav,amperios hora,,
system/watt.wav,vatios,,
system/mwatt.wav,milivatios,,
system/cm.wav,centímetros,,
system/meter.wav,metros,,
system/km.wav,kilómetros,,
system/foot.wav,pies,,
system/mile.wav,mllas,,
system/cmps.wav,centímetros por segundo,,
system/meterps.wav,metros por segundo,,
system/kph.wav,kilómetros por hora,,
system/footps.wav,pies por segundo,,
system/footpm.wav,pies por minuto,,
system/mph.wav,millas por hora,,
system/celsius.wav,grados celsius,,
system/fahrenheit.wav,grados fahrenheit,,
system/percent.wav,por ciento,,
system/microsecond.wav,microsegundos,,
system/millisecond.wav,milisegundos,,
system/second.wav,segundos,,
system/minute.wav,minutos,,
system/hour.wav,horas,,
system/db.wav,decibelios,,
system/dbm.wav,dbm,,
system/hz.wav,hertz,,
system/mhz.wav,mega hertz,,
system/g.wav,g,,
system/degree.wav,degree,,
system/rad.wav,rad,,
system/ml.wav,milliliter,,
system/mlpm.wav,milliliter por minute,,
system/mlpp.wav,milliliter por pulse,,
system/rpm.wav,tour por minute,,
system/pa.wav,pascal,,
system/kpa.wav,kilopascal,,
system/mpa.wav,megapascal,,
system/bar.wav,bar,,
system/psi.wav,psi,,
system/moins.wav,menos,,
system/et.wav,y,,
system/mille.wav,milla,,
system/virgule1.wav,coma uno,,
system/virgule2.wav,coma dos,,
system/virgule3.wav,coma tres,,
system/virgule4.wav,coma cuatro,,
system/virgule5.wav,coma cinco,,
system/virgule6.wav,coma seis,,
system/virgule7.wav,coma siete,,
system/virgule8.wav,coma ocho,,
system/virgule9.wav,coma nueve,,
system/hello.wav,Bienvenido a Ethos !,,
system/down.wav,bajo,,
system/middle.wav,medio,,
system/up.wav,alto,,
system/trim-center.wav,trim centrado,,
system/trim-max.wav,trim al máximo,,
system/trim-min.wav,trim al mínimo,,
system/no-failsafe.wav,Failsafe no confifurado,,
system/inactivity.wav,Radio inactiva !,,
system/modelfile-version-error.wav,La versión del archivo de modelo es errónea,,
system/pot-warning.wav,Alerta potentiómetros,,
system/low-battery.wav,Batería de la emisora baja !,,
system/no-sound.wav,Radio en modo silencioso !,,
system/low-rtc-battery.wav,Batería RTC baja !,,
system/switch-warning.wav,Alerta interruptores,,
system/swr-warning.wav,Alerta SWR !,,
system/system-file-version-error.wav,Datos de emisora erróneos,,
system/rssi-lost.wav,Señal de radio perdida !,,
system/rssi-recovered.wav,Señal de radio recuperada !,,
system/rssi-critical-warning.wav,Señal de radio crítica !,,
system/rssi-low-warning.wav,Señal de radio débil,,
system/rssi-ext-lost.wav,Señal de radio del módulo externo perdida !,,
system/rssi-ext-recovered.wav,Señal de radio del módulo externo recuperada !,,
system/rssi-ext-critical-warning.wav,Señal de radio del módulo externo crítica !,,
system/rssi-ext-low-warning.wav,Señal de radio del módulo externo débil,,
system/rssi-int-lost.wav,Señal de radio del módulo interno perdida !,,
system/rssi-int-recovered.wav,Señal de radio del módulo interno recuperada !,,
system/rssi-int-critical-warning.wav,Señal de radio del módulo interno crítica !,,
system/rssi-int-low-warning.wav,Señal de radio del módulo interno débil,,
system/rssi-2g4-lost.wav,2 giga 4 telemetry lost,,
system/rssi-2g4-recovered.wav,2 giga 4 telemetry recovered,,
system/rssi-2g4-critical-warning.wav,2 giga 4 RSSI critical warning,,
system/rssi-2g4-low-warning.wav,2 giga 4 RSSI low warning,,
system/rssi-lora-lost.wav,lora telemetry lost,,
system/rssi-lora-recovered.wav,lora telemetry recovered,,
system/rssi-lora-critical-warning.wav,lora RSSI critical warning,,
system/rssi-lora-low-warning.wav,lora RSSI low warning,,
system/rssi-900m-lost.wav,900 mega telemetry lost,,
system/rssi-900m-recovered.wav,900 mega telemetry recovered,,
system/rssi-900m-critical-warning.wav,900 mega RSSI critical warning,,
system/rssi-900m-low-warning.wav,900 mega RSSI low warning,,
system/rssi-int2g4-lost.wav,Señal de radio del módulo interno 2 con 4 perdida !,,
system/rssi-int2g4-recovered.wav,Señal de radio sel módulo interno 2 con 4 recuperada !,,
system/rssi-int2g4-critical-warning.wav,Señal de radio del módulo interno 2 con 4 crítica !,,
system/rssi-int2g4-low-warning.wav,Señal de radio del módulo interno 2 con 4 débil,,
system/rssi-intlora-lost.wav,Internal module lora telemetry lost,,
system/rssi-intlora-recovered.wav,Internal module lora telemetry recovered,,
system/rssi-intlora-critical-warning.wav,Internal module lora RSSI critical warning,,
system/rssi-intlora-low-warning.wav,Internal module lora RSSI low warning,,
system/rssi-int900m-lost.wav,Señal de radio del módulo interno 900 perdida !,,
system/rssi-int900m-recovered.wav,Señal de radio del módulo interno 900 recuperada !,,
system/rssi-int900m-critical-warning.wav,Señal de radio del módulo interno 900 crítica !,,
system/rssi-int900m-low-warning.wav,Señal de radio del módulo interno 900 debíl,,
system/rssi-ext2g4-lost.wav,External module 2 giga 4 telemetry lost,,
system/rssi-ext2g4-recovered.wav,External module 2 giga 4 telemetry recovered,,
system/rssi-ext2g4-critical-warning.wav,External module 2 giga 4 RSSI critical warning,,
system/rssi-ext2g4-low-warning.wav,External module 2 giga 4 RSSI low warning,,
system/rssi-extlora-lost.wav,External module lora telemetry lost,,
system/rssi-extlora-recovered.wav,External module lora telemetry recovered,,
system/rssi-extlora-critical-warning.wav,External module lora RSSI critical warning,,
system/rssi-extlora-low-warning.wav,External module lora RSSI low warning,,
system/rssi-ext900m-lost.wav,External module 900 mega telemetry lost,,
system/rssi-ext900m-recovered.wav,External module 900 mega telemetry recovered,,
system/rssi-ext900m-critical-warning.wav,External module 900 mega RSSI critical warning,,
system/rssi-ext900m-low-warning.wav,External module 900 mega RSSI low warning,,
system/trainer-lost.wav,Radio alumno desconectada,,
system/trainer-recovered.wav,Radio alumno reconectada,,
system/no-calibration.wav,Los esticks no están calibrados,,
system/throttle-warning.wav,Alerta estick de motor !,,
system/register.wav,Registro ...,,
system/bind.wav,Enlace ...,,
system/range-check.wav,Test de alcance ...,,
system/rx-on-warning.wav,El receptor todavía está encendido,,
system/sensor-lost.wav,Sensor perdido,,
system/sensor-conflict.wav,Sensor conflict,,
system/vfr-low-warning.wav,VFR low warning,,
system/function-switches-warning.wav,function switches warning,,
