chemin,texte parlé,options,description
system/0.wav,0,,
system/1.wav,un,,
system/1F.wav,une,,
system/2.wav,2,,
system/3.wav,3,,
system/4.wav,4,,
system/5.wav,5,,
system/6.wav,6,,
system/7.wav,7,,
system/8.wav,8,,
system/9.wav,9,,
system/10.wav,10,,
system/11.wav,11,,
system/12.wav,12,,
system/13.wav,13,,
system/14.wav,14,,
system/15.wav,15,,
system/16.wav,16,,
system/17.wav,17,,
system/18.wav,18,,
system/19.wav,19,,
system/20.wav,20,,
system/21.wav,vingt et un,,
system/21F.wav,vingt et une,,
system/22.wav,22,,
system/23.wav,23,,
system/24.wav,24,,
system/25.wav,25,,
system/26.wav,26,,
system/27.wav,27,,
system/28.wav,28,,
system/29.wav,29,,
system/30.wav,30,,
system/31.wav,trente et un,,
system/31F.wav,trente et une,,
system/32.wav,32,,
system/33.wav,33,,
system/34.wav,34,,
system/35.wav,35,,
system/36.wav,36,,
system/37.wav,37,,
system/38.wav,38,,
system/39.wav,39,,
system/40.wav,40,,
system/41.wav,quarante et un,,
system/41F.wav,quarante et une,,
system/42.wav,42,,
system/43.wav,43,,
system/44.wav,44,,
system/45.wav,45,,
system/46.wav,46,,
system/47.wav,47,,
system/48.wav,48,,
system/49.wav,49,,
system/50.wav,50,,
system/51.wav,cinquante et un,,
system/51F.wav,cinquante et une,,
system/52.wav,52,,
system/53.wav,53,,
system/54.wav,54,,
system/55.wav,55,,
system/56.wav,56,,
system/57.wav,57,,
system/58.wav,58,,
system/59.wav,59,,
system/60.wav,60,,
system/61.wav,soixante et un,,
system/61F.wav,soixante et une,,
system/62.wav,62,,
system/63.wav,63,,
system/64.wav,64,,
system/65.wav,65,,
system/66.wav,66,,
system/67.wav,67,,
system/68.wav,68,,
system/69.wav,69,,
system/70.wav,70,,
system/71.wav,71,,
system/72.wav,72,,
system/73.wav,73,,
system/74.wav,74,,
system/75.wav,75,,
system/76.wav,76,,
system/77.wav,77,,
system/78.wav,78,,
system/79.wav,79,,
system/80.wav,80,,
system/81.wav,quatre-vingt-un,,
system/81F.wav,quatre-vingt-une,,
system/82.wav,82,,
system/83.wav,83,,
system/84.wav,84,,
system/85.wav,85,,
system/86.wav,86,,
system/87.wav,87,,
system/88.wav,88,,
system/89.wav,89,,
system/90.wav,90,,
system/91.wav,91,,
system/92.wav,92,,
system/93.wav,93,,
system/94.wav,94,,
system/95.wav,95,,
system/96.wav,96,,
system/97.wav,97,,
system/98.wav,98,,
system/99.wav,99,,
system/100.wav,100,,
system/200.wav,200,,
system/300.wav,300,,
system/400.wav,400,,
system/500.wav,500,,
system/600.wav,600,,
system/700.wav,700,,
system/800.wav,800,,
system/900.wav,900,,
system/mvolt.wav,milli-volt,,
system/volt.wav,volt,,
system/mamp.wav,milli-ampère,,
system/amp.wav,ampère,,
system/mah.wav,milliampère-heure,,
system/ah.wav,ampère-heure,,
system/mwatt.wav,milli-watt,,
system/watt.wav,watt,,
system/cm.wav,centimètre,,
system/meter.wav,mètre,,
system/kilometer.wav,kilomètre,,
system/foot.wav,pied,,
system/cmps.wav,centimètre par seconde,,
system/meterps.wav,mètre par seconde,,
system/footps.wav,pied par seconde,,
system/footpm.wav,pied par minute,,
system/kph.wav,kilomètre heure,,
system/mph.wav,mile par heure,,
system/knots.wav,knots,,
system/celsius.wav,degré celsius,,
system/fahrenheit.wav,degré fahrenheit,,
system/percent.wav,pourcent,,
system/microsecond.wav,micro-seconde,,
system/millisecond.wav,milli-seconde,,
system/second.wav,seconde,,
system/minute.wav,minute,,
system/hour.wav,heure,,
system/db.wav,db,,
system/dbm.wav,dbm,,
system/hz.wav,hertz,,
system/mhz.wav,mega hertz,,
system/g.wav,g,,
system/degree.wav,degré,,
system/rad.wav,rad,,
system/ml.wav,millilitre,,
