path,text to play,options,description
system/0.wav,0,,
system/1.wav,1,,
system/2.wav,2,,
system/3.wav,3,,
system/4.wav,4,,
system/5.wav,5,,
system/6.wav,6,,
system/7.wav,7,,
system/8.wav,8,,
system/9.wav,9,,
system/10.wav,10,,
system/11.wav,11,,
system/12.wav,12,,
system/13.wav,13,,
system/14.wav,14,,
system/15.wav,15,,
system/16.wav,16,,
system/17.wav,17,,
system/18.wav,18,,
system/19.wav,19,,
system/20.wav,20,,
system/21.wav,21,,
system/22.wav,22,,
system/23.wav,23,,
system/24.wav,24,,
system/25.wav,25,,
system/26.wav,26,,
system/27.wav,27,,
system/28.wav,28,,
system/29.wav,29,,
system/30.wav,30,,
system/31.wav,31,,
system/32.wav,32,,
system/33.wav,33,,
system/34.wav,34,,
system/35.wav,35,,
system/36.wav,36,,
system/37.wav,37,,
system/38.wav,38,,
system/39.wav,39,,
system/40.wav,40,,
system/41.wav,41,,
system/42.wav,42,,
system/43.wav,43,,
system/44.wav,44,,
system/45.wav,45,,
system/46.wav,46,,
system/47.wav,47,,
system/48.wav,48,,
system/49.wav,49,,
system/50.wav,50,,
system/51.wav,51,,
system/52.wav,52,,
system/53.wav,53,,
system/54.wav,54,,
system/55.wav,55,,
system/56.wav,56,,
system/57.wav,57,,
system/58.wav,58,,
system/59.wav,59,,
system/60.wav,60,,
system/61.wav,61,,
system/62.wav,62,,
system/63.wav,63,,
system/64.wav,64,,
system/65.wav,65,,
system/66.wav,66,,
system/67.wav,67,,
system/68.wav,68,,
system/69.wav,69,,
system/70.wav,70,,
system/71.wav,71,,
system/72.wav,72,,
system/73.wav,73,,
system/74.wav,74,,
system/75.wav,75,,
system/76.wav,76,,
system/77.wav,77,,
system/78.wav,78,,
system/79.wav,79,,
system/80.wav,80,,
system/81.wav,81,,
system/82.wav,82,,
system/83.wav,83,,
system/84.wav,84,,
system/85.wav,85,,
system/86.wav,86,,
system/87.wav,87,,
system/88.wav,88,,
system/89.wav,89,,
system/90.wav,90,,
system/91.wav,91,,
system/92.wav,92,,
system/93.wav,93,,
system/94.wav,94,,
system/95.wav,95,,
system/96.wav,96,,
system/97.wav,97,,
system/98.wav,98,,
system/99.wav,99,,
system/100.wav,100,,
system/200.wav,200,,
system/300.wav,300,,
system/400.wav,400,,
system/500.wav,500,,
system/600.wav,600,,
system/700.wav,700,,
system/800.wav,800,,
system/900.wav,900,,
system/mvolt.wav,millivolt,,
system/mvolts.wav,millivolt,,
system/volt.wav,volt,,
system/volts.wav,volt,,
system/mamp.wav,milliamper,,
system/mamps.wav,milliamper,,
system/amp.wav,amper,,
system/amps.wav,amper,,
system/mah.wav,milliamper ora,,
system/mahs.wav,milliamper ora,,
system/ah.wav,amper ora,,
system/ahs.wav,amper ora,,
system/watt.wav,vatt,,
system/watts.wav,vatt,,
system/mwatt.wav,millivat,,
system/mwatts.wav,millivat,,
system/cm.wav,centimetro,,
system/cms.wav,centimeteri,,
system/meter.wav,metro,,
system/meters.wav,metri,,
system/km.wav,chilometro,,
system/kms.wav,chilometri,,
system/foot.wav,piede,,
system/feet.wav,piedi,,
system/mile.wav,miglio,,
system/miles.wav,miglia,,
system/cmps.wav,centimetro al secondo,,
system/cmsps.wav,centimetri al secondo,,
system/meterps.wav,metro al secondo,,
system/metersps.wav,metri al secondo,,
system/meterspm.wav,metri al minute,,
system/kph.wav,chilometro all'ora,,
system/ksph.wav,chilometri all'ora,,
system/footps.wav,piede al secondo,,
system/feetps.wav,piedi al secondo,,
system/footpm.wav,piede al minute,,
system/feetpm.wav,piedi al minute,,
system/mph.wav,miglio all'ora,,
system/msph.wav,miglia all'ora,,
system/celsius.wav,grado celsius,,
system/celsiuss.wav,gradi celsius,,
system/fahrenheit.wav,grado fahrenheit,,
system/fahrenheits.wav,gradi fahrenheit,,
system/percent.wav,percento,,
system/percents.wav,percento,,
system/microsecond.wav,microsecondo,,
system/microseconds.wav,microsecondi,,
system/millisecond.wav,millisecondo,,
system/milliseconds.wav,millisecondi,,
system/second.wav,secondo,,
system/seconds.wav,secondi,,
system/minute.wav,minuto,,
system/minutes.wav,minuti,,
system/hour.wav,ora,,
system/hours.wav,ore,,
system/db.wav,db,,
system/dbs.wav,db,,
system/dbm.wav,dbm,,
system/hz.wav,hertz,,
system/mhz.wav,mega hertz,,
system/g.wav,g,,
system/degree.wav,grado,,
system/degrees.wav,gradi celsius,,
system/rad.wav,rad,,
system/ml.wav,millilitro,,
system/mls.wav,millilitri,,
system/mlpm.wav,millilitro per minuto,,
system/mlpms.wav,millilitri per minuto,,
system/mlpp.wav,millilitro per impulso,,
system/mlpps.wav,millilitri per impulso,,
system/rpm.wav,giro al minuto,,
system/rpms.wav,giri al minuto,,
system/pa.wav, pascal,,
system/pas.wav, pascal,,
system/kpa.wav, kilopascal,,
system/kpas.wav, kilopascal,,
system/mpa.wav, megapascal,,
system/mpas.wav, megapascal,,
system/bar.wav, bar,,
system/bars.wav, bars,,
system/psi.wav,libbra per pollice quadrato,,
system/psis.wav,libbre per pollice quadrato,,
system/minus.wav,meno,,
system/and.wav,e,,
system/thousand.wav,mila,,
system/thousands.wav,mille,,
system/point1.wav,punto uno,,
system/point2.wav,punto due,,
system/point3.wav,punto  tre,,
system/point4.wav,punto quattro,,
system/point5.wav,punto cinque,,
system/point6.wav,punto sei,,
system/point7.wav,punto sette,,
system/point8.wav,punto otto,,
system/point9.wav,punto nove,,
system/hello.wav,Benvenuto in Ethos,,
system/down.wav,Giù,,
system/middle.wav,Metà,,
system/up.wav,Sù,,
system/trim-center.wav,trim centrato,,
system/trim-max.wav,trim massimo,,
system/trim-min.wav,trim minimo,,
system/no-failsafe.wav,Failsafe non impostato,,
system/inactivity.wav,Radio inattiva,,
system/modelfile-version-error.wav,Dati del modello errati,,
system/pot-warning.wav,Attenzione potenziometro,,
system/low-battery.wav,La batteria della radio è scarica,,
system/no-sound.wav,La radio è in modalità silenziosa,,
system/low-rtc-battery.wav,La batteria dell'RTC è scarica,,
system/switch-warning.wav,attenzione interruttore,,
system/swr-warning.wav,Attenzione SWR Antenna Esterna,,
system/system-file-version-error.wav,Versione errata dei dati radio,,
system/rssi-lost.wav,attenzione segnale radio perso,,
system/rssi-recovered.wav,attenzione segnale radio recuperata,,
system/rssi-critical-warning.wav,Attenzione segnale radio RSSI critico,,
system/rssi-low-warning.wav,Attenzione  segnale radio RSSI basso,,
system/rssi-ext-lost.wav,attenzione segnale radio del modulo esterno persa,,
system/rssi-ext-recovered.wav,attenzione segnale radio del modulo esterno recuperata,,
system/rssi-ext-critical-warning.wav,attenzione segnale radio RSSI modulo esterno critico,,
system/rssi-ext-low-warning.wav,attenzione segnale radio RSSI  modulo esterno basso,,
system/rssi-int-lost.wav,attenzione segnale radio del modulo interno perso,,
system/rssi-int-recovered.wav,attenzione segnale radio del modulo interno recuperata,,
system/rssi-int-critical-warning.wav,attenzione segnale radio del modulo interno RSSI critico,,
system/rssi-int-low-warning.wav,attenzione segnale radio del modulo interno RSSI basso,,
system/rssi-2g4-lost.wav,2 giga 4 telemetry lost,,
system/rssi-2g4-recovered.wav,2 giga 4 telemetry recovered,,
system/rssi-2g4-critical-warning.wav,2 giga 4 RSSI critical warning,,
system/rssi-2g4-low-warning.wav,2 giga 4 RSSI low warning,,
system/rssi-lora-lost.wav,lora telemetry lost,,
system/rssi-lora-recovered.wav,lora telemetry recovered,,
system/rssi-lora-critical-warning.wav,lora RSSI critical warning,,
system/rssi-lora-low-warning.wav,lora RSSI low warning,,
system/rssi-900m-lost.wav,900 mega telemetry lost,,
system/rssi-900m-recovered.wav,900 mega telemetry recovered,,
system/rssi-900m-critical-warning.wav,900 mega RSSI critical warning,,
system/rssi-900m-low-warning.wav,900 mega RSSI low warning,,
system/rssi-int2g4-lost.wav,Attenzione segnale radio del modulo interno da 2 giga e 4 persa,,
system/rssi-int2g4-recovered.wav,Attenzione segnale radio del modulo interno da 2 giga e 4 recuperata,,
system/rssi-int2g4-critical-warning.wav,Attenzione segnale radio del modulo interno da 2 giga e 4 critica,,
system/rssi-int2g4-low-warning.wav,attenzione segnale radio basso del modulo interno da 2 giga e 4,,
system/rssi-intlora-lost.wav,Internal module lora telemetry lost,,
system/rssi-intlora-recovered.wav,Internal module lora telemetry recovered,,
system/rssi-intlora-critical-warning.wav,Internal module lora RSSI critical warning,,
system/rssi-intlora-low-warning.wav,Internal module lora RSSI low warning,,
system/rssi-int900m-lost.wav,Attenzione segnale radio del modulo interno da 900 megaerz perso,,
system/rssi-int900m-recovered.wav,Attenzione segnale radio del modulo interno da 900 megaerz recuperato,,
system/rssi-int900m-critical-warning.wav,Attenzione segnale radio del modulo interno da 900 megaerz critico,,
system/rssi-int900m-low-warning.wav,Attenzione segnale radio del modulo interno da 900 megaerz basso,,
system/rssi-ext2g4-lost.wav,External module 2 giga 4 telemetry lost,,
system/rssi-ext2g4-recovered.wav,External module 2 giga 4 telemetry recovered,,
system/rssi-ext2g4-critical-warning.wav,External module 2 giga 4 RSSI critical warning,,
system/rssi-ext2g4-low-warning.wav,External module 2 giga 4 RSSI low warning,,
system/rssi-extlora-lost.wav,External module lora telemetry lost,,
system/rssi-extlora-recovered.wav,External module lora telemetry recovered,,
system/rssi-extlora-critical-warning.wav,External module lora RSSI critical warning,,
system/rssi-extlora-low-warning.wav,External module lora RSSI low warning,,
system/rssi-ext900m-lost.wav,External module 900 mega telemetry lost,,
system/rssi-ext900m-recovered.wav,External module 900 mega telemetry recovered,,
system/rssi-ext900m-critical-warning.wav,External module 900 mega RSSI critical warning,,
system/rssi-ext900m-low-warning.wav,External module 900 mega RSSI low warning,,
system/trainer-lost.wav,Radio allievo disconnessa,,
system/trainer-recovered.wav,Radio allievo connessa,,
system/no-calibration.wav,Gli stic non sono calibrati,,
system/throttle-warning.wav,Comando motore non al minimo,,
system/register.wav,Registrazione,,
system/bind.wav,Collegamento,,
system/range-check.wav,Test di portata,,
system/rx-on-warning.wav,Il ricevitore è ancora acceso,,
system/sensor-lost.wav,Sensore perso,,
system/sensor-conflict.wav,Conflitto di sensore,,
system/vfr-low-warning.wav,Attenzione VFR basso,,
system/function-switches-warning.wav,Attenzione interruttori funzione,,
fm-2.wav,Fase di volo due,,
fm-3.wav,Fase di volo tre,,
fm-4.wav,Fase di volo quattro,,
fm-5.wav,Fase di volo cinque,,
fm-6.wav,Fase di volo sei,,
fm-7.wav,Fase di volo sette,,
fm-8.wav,Fase di volo otto,,
fm-9.wav,Fase di volo nove,,
fm-10.wav,Fase di volo dieci,,
fm-power.wav,Fase di volo a motore,,
fm-land.wav,Fase di volo atterraggio,,
fm-float.wav,Fase di volo galleggiamento,,
fm-speed.wav,Fase di volo veloce,,
fm-fast.wav,Fase di volo rapida,,
fm-normal.wav,Fase di volo normale,,
fm-cruise.wav,Fase di volo di crociera,,
fm-acro.wav,Fase di volo acrobatico,,
fm-race.wav,Fase di volo gara,,
fm-launch.wav,Fase di volo decollo,,
fm-thermal.wav,Fase di volo in termica,,
fm-thermal-left.wav,Fase di volo in termica a sinistra,,
fm-thermal-right.wav,Fase di volo in termica a destra,,
