TRANSLATION_NAME,"中文"
TRANSLATION_KEY,"cn"
FORMULA,"计算"
CALCULATED_SENSOR,"计算传感器"
NAME,"名称"
DECIMALS,"小数精度"
VALUE,"值"
SENSOR_LOST_WARNING_DELAY,"传感器丢失警报延迟"
WARNING_DISABLED,"禁用警报"
RANGE,"范围"
SPACE_WITH_SAMPLES,"个"
RESET,"重置"
TELEMETRY_SENSOR,"遥测传感器"
UNIT,"单位"
WRITE_LOGS,"写日志"
ID,"ID"
CENTER,"居中"
SUBTRIM,"中立微调"
PWM_CENTER,"PWM 中点"
NORMAL,"正常"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"添加一个操作"
ADD_EXTRA_TRIM,"添加一个虚拟微调"
EXTRA_TRIM,"虚拟微调"
SLOW_UP,"正向行程缓动"
MIN,"最小值"
CURVE,"曲线"
MAX,"最大值"
CHANNEL,"通道"
INVERTED_CHANNEL,"Inverted channel"
INVERT,"反向"
SLOW_DOWN,"负向行程缓动"
INVERTED,"反向"
FLIGHT_MODES,"飞行模式"
MIX_FLIGHT_MODES_DESCRIPTION,"用于分配混控在何种飞行模式下生效","用于分配混控在何种飞行模式\n下生效"
MIX_NAME_DESCRIPTION,"用于编辑混控的名字"
TRIGGER_ON_CONDITION,"触发开启条件"
COMMENT,"注释"
FUNCTION,"函数"
VALUES,"Values"
ADD_NEW_VALUE,"+ 添加一个值"
ACTIONS,"行为"
ADD_NEW_ACTION,"+ 添加一个行为"
DURATION_HIGH,"生效时长"
RISING_EDGE,"上升沿"
DURING,"时长"
VALUE1,"值1"
VALUE_X,"值(X)"
CHECK_INTERVAL,"检测间隔"
ACTIVE_CONDITION,"生效条件"
MIN_DURATION,"最小时长"
MAX_DURATION,"最大时长"
DURATION_LOW,"失效时长"
VALUE2,"值2"
DELAY_BEFORE_ACTIVE,"生效延迟"
DURATION,"持续时间"
SOURCE_A,"源(A)"
TRIGGER_OFF_CONDITION,"触发关闭条件"
DELAY_BEFORE_INACTIVE,"失效延迟"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"源"
APPLICATION_ID,"应用ID"
PHYSICAL_ID,"物理ID"
ACTION,"操作"
TRAINER,"教练功能"
TRAINER_MODE,"教练模式"
CHANNEL_RANGE,"通道范围"
CH,"CH"
OUTPUTS,"输出"
LAST_MODIFICATION,"最后修改日期"
CLONE,"克隆"
MODEL_MATCH,"模型匹配"
MODEL_DATA_LOAD,"模型数据载入"
FILE_SIZE,"文件大小"
MODEL_SELECT,"模型选择"
NO_MODELS_DIRECTORY,"没有找到模型文件目录!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"确认删除模型?"
SUCCESS,"成功!"
CLONE_MODEL_SUCCESSFULLY,"模型已克隆成功!"
FILENAME_TOO_LONG,"文件名过长!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"接收机仍然处于上电状态, 确定要切换模型吗?"
CONFIRM_SELECT_ANOTHER_MODEL,"你确定要切换至另一个模型吗?"
FILE_NAME,"文件名称"
MODEL_TYPE,"模型类型"
CONFIRM,"确认"
SET_CURRENT_MODEL,"设置当前模型"
UNCATEGORIZED,"未分类"
CHANGE_FOLDER,"更改文件夹"
OPERATION,"操作"
OPERATION_FAILED,"操作失败!"
DELETE_FOLDER,"删除文件夹"
RENAME_FOLDER,"重命名文件夹"
CREATE_FOLDER,"创建文件夹"
