TRANSLATION_NAME,"Česky"
TRANSLATION_KEY,"cz"
FORMULA,"Vzorec"
CALCULATED_SENSOR,"Vypočtený senzor"
NAME,"Název"
DECIMALS,"Desetiny"
VALUE,"Hodnota"
SENSOR_LOST_WARNING_DELAY,"Varování ztraceného senzoru"
WARNING_DISABLED,"Varování vypnuta"
RANGE,"Rozsah"
SPACE_WITH_SAMPLES," vzorků"
RESET,"Reset"
TELEMETRY_SENSOR,"Telemetrický senzor"
UNIT,"Jednotka"
WRITE_LOGS,"Logovat"
ID,"ID"
CENTER,"Centr"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM Center"
NORMAL,"Normál"
EQUAL,"Rovná se"
UNPLUGGED,"Odpojeno"
BEHAVIOUR,"Chování"
ADD_NEW_BEHAVIOUR,"Přidat nové chování"
ADD_EXTRA_TRIM,"Přidat extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Zpomalení ↑"
MIN,"Min"
CURVE,"Křivka"
MAX,"Max"
CHANNEL,"Kanál"
INVERT,"Invertovat","Invert"
SLOW_DOWN,"Zpomalení ↓"
INVERTED,"Invertovaný"
FLIGHT_MODES,"Letové režimy"
MIX_FLIGHT_MODES_DESCRIPTION,""
MIX_NAME_DESCRIPTION,"Upravit název mixu"
TRIGGER_ON_CONDITION,"Podmínka spuštění"
COMMENT,"Poznámka"
FUNCTION,"Funkce"
VALUES,"Hodnoty"
ADD_NEW_VALUE,"+ Přidat novou hodnotu"
ACTIONS,"Akce"
ADD_NEW_ACTION,"+ Přidat novou akci"
DURATION_HIGH,"Doba trvání aktivity"
RISING_EDGE,"↑ Edge"
DURING,"Během"
VALUE1,"Hodnota 1"
VALUE_X,"Hodnota (X)"
CHECK_INTERVAL,"Interval kontroly"
ACTIVE_CONDITION,"Aktivní stav"
MIN_DURATION,"Min. doba trvání"
MAX_DURATION,"Max duration"
DURATION_LOW,"Doba trvání neaktivity"
VALUE2,"Hodnota 2"
DELAY_BEFORE_ACTIVE,"Zpoždění před aktivací"
DURATION,"Trvání"
SOURCE_A,"Zdroj (A)"
TRIGGER_OFF_CONDITION,"Podmínka vypnutí"
DELAY_BEFORE_INACTIVE,"Zpoždění po deaktivaci"
DELAY_ON_OFF,"Zpoždění Zap / Vyp"
SOURCE,"Zdroj"
APPLICATION_ID,"Aplikační ID"
PHYSICAL_ID,"Fyzické ID"
ACTION,"Akce"
TRAINER,"Trenér"
TRAINER_MODE,"Režim trenér"
CHANNEL_RANGE,"Rozsah kanálů"
CH,"CH"
OUTPUTS,"Výstupy"
LAST_MODIFICATION,"Poslední úprava"
CLONE,"Klonovat"
MODEL_MATCH,"Model ID"
MODEL_DATA_LOAD,"Data modelu nahrána"
FILE_SIZE,"Velikost souboru"
MODEL_SELECT,"Výběr modelu"
NO_MODELS_DIRECTORY,"Žádný adresář modelů!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Jste si jistí, že chcete smazat tento model?"
SUCCESS,"Úspěch!"
