TRANSLATION_NAME,"Deutsch"
TRANSLATION_KEY,"de"
FORMULA,"Formel"
CALCULATED_SENSOR,"berechneter Sensor"
NAME,"Name"
DECIMALS,"Kommastellen"
VALUE,"Wert"
SENSOR_LOST_WARNING_DELAY,"Sensor verl., Ansage verz.:"
WARNING_DISABLED,"Warnung deaktiviert"
RANGE,"Bereich"
SPACE_WITH_SAMPLES," Messungen"
RESET,"zurücksetz."
TELEMETRY_SENSOR,"Telemetrie Sensor"
UNIT,"Physikalische Einheit"
WRITE_LOGS,"schreibe Logs"
ID,"ID"
CENTER,"Mittelstellung"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM Mitte"
NORMAL,"normal"
EQUAL,"gleich"
UNPLUGGED,"nicht ausgewählt"
BEHAVIOUR,"Aktion"
ADD_NEW_BEHAVIOUR,"Neue Aktion hinzufügen"
ADD_EXTRA_TRIM,"Extra Trimmer hinzufügen"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Servo-Geschw. (< Richt.)"
MIN,"min."
CURVE,"Kurve "
MAX,"max."
CHANNEL,"Kanal "
INVERT,"invers"
SLOW_DOWN,"Servo-Geschw. (Richt. >)"
INVERTED,"invert."
FLIGHT_MODES,"Flugphasen"
MIX_FLIGHT_MODES_DESCRIPTION,"Flugphasen-Auswahl"
MIX_NAME_DESCRIPTION,"Mixer Namen bearbeiten"
TRIGGER_ON_CONDITION,"Trigger-EIN-Bedingung"
COMMENT,"Kommentar"
FUNCTION,"Funktion"
VALUES,"Wert"
ADD_NEW_VALUE,"+ Neuen Wert hinzufügen"
ACTIONS,"Aktionen"
ADD_NEW_ACTION,"+ Neue Aktion hinzufügen"
DURATION_HIGH,"Laufzeit aktiv"
RISING_EDGE,"Flanke steig."
DURING,"während"
VALUE1,"Wert 1"
VALUE_X,"Wert (X)"
CHECK_INTERVAL,"Prüfe Intervall"
ACTIVE_CONDITION,"aktiviert"
MIN_DURATION,"Min. Laufzeit"
MAX_DURATION,"Max Laufzeit"
DURATION_LOW,"Laufzeit inaktiv"
VALUE2,"Wert 2"
DELAY_BEFORE_ACTIVE,"Verzögerung bevor aktiv"
DURATION,"Dauer"
SOURCE_A,"Quelle (A)"
TRIGGER_OFF_CONDITION,"Trigger-AUS-Bedingung"
DELAY_BEFORE_INACTIVE,"Verzögerung bevor inaktiv"
DELAY_ON_OFF,"Verz. ON / OFF"							 
SOURCE,"Quelle"
APPLICATION_ID,"Anwendungs ID"
PHYSICAL_ID,"Physikalische ID"
ACTION,"Aktion"
TRAINER,"L/S Konfiguration"
TRAINER_MODE,"L/S Mode"
CHANNEL_RANGE,"Kanalbereich"
CH,"K"
OUTPUTS,"Ausgänge"
LAST_MODIFICATION,"Letzte Änd."
CLONE,"klonen"
MODEL_MATCH,"Modell ID"
MODEL_DATA_LOAD,"Modelldaten werden geladen"
FILE_SIZE,"Dat-Größe"
MODEL_SELECT,"Modelle"
NO_MODELS_DIRECTORY,"Kein Modellverzeichnis!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Modell wirklich löschen?"
SUCCESS,"erfolgreich!"
CLONE_MODEL_SUCCESSFULLY,"Das Modell wurde erfolgreich geklont!"
FILENAME_TOO_LONG,"Dateiname zu lang!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Empfänger noch EIN, sicher das sie das Modell wechseln wollen?"
CONFIRM_SELECT_ANOTHER_MODEL,"Sicher, dass Sie ein anderes Modell wählen wollen?"
FILE_NAME,"Dat-Name"
MODEL_TYPE,"Modell Typ"
CONFIRM,"bestätigen"
SET_CURRENT_MODEL,"Modell auswählen"
UNCATEGORIZED,"keine Kategorie"
CHANGE_FOLDER,"Ordner wechseln"
OPERATION,"Operation"
OPERATION_FAILED,"Operation fehlgeschlagen!"
DELETE_FOLDER,"Ordner löschen"
RENAME_FOLDER,"Ordner umbenennen"
CREATE_FOLDER,"Ordner anlegen"
CONFIRM_DELETE_FLIGHT_MODE,"Diese Flugphase wirklich löschen?"
MOVE,"verschieben"
EDIT,"bearbeiten"
ADD,"add./hinzuf."
TELEMETRY_PORT,"Telem. Port"
WARNING,"Warnung"
ERRORS,"FEHLER" 
OPTIONS,"Optionen"
CONFIGURE,"Konfigurieren"
WAITING_FOR_RECEIVER,"Wartet auf Empfänger..."
PIN,"PIN"
TELEMETRY,"Telemetrie"
RX_SETTINGS,"Empf. Einstellungen"
NO_RESPONSE_FROM_RECEIVER,"Empfänger antwortet nicht"
SBUS_OUT,"SBUS OUT"
SBUS_IN,"SBUS IN"
TELEMETRY_25_MW,"Telemetrie 25mW"
HIGH_PWM_SPEED,"HS-PWM Rate EIN=7ms - AUS=21ms"
FLIGHT_DATA_RECORDER,"Flugdaten-Aufz."
RX_HAS_NO_FLIGHT_DATA_RECORD,"Empfänger hat keinen Flugdaten-Rec."
DEVICE_CONFIG,"Sensor Konfig."
CONFIRM_DELETE_TIMER,"Stoppuhr löschen?"
TIMER,"Stoppuhr "
MODE,"Mode"
PASTE,"einfügen"
TIMERS,"Stoppuhren"
COPY,"kopieren"
NO_TIMER_HINT,"Keine Stoppuhr eingestellt. Plus Button drücken zum Erstellen!"
ANTENNA,"Antenne"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"Sendeleistung verändert, bitte neu binden!"
NO_RESPONSE_FROM_MODULE,"Modul antwortet nicht!"
POWER,"Leistung"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"Warten auf HF-Modul..."
TX_SETTINGS,"Sender Einstellungen"
MIXES,"Mischer"
CHANNELS,"Kanäle"
FLIGHT_MODE,"Flugphase"
D,"D"
CONFIRM_DELETE_MIX,"Mischer wirklich löschen?"
CONFIRM_DELETE_SSS,"%s wirklich löschen?"
NONE,"keine Auswahl"
NO_MIX_HINT,"Kein Mischer vorhanden. Plus Button drücken zum Erstellen!"
TYPE,"Typ"
SHARE,"teilen"
RX,"EMPF."
RACING_MODE,"Racing Mode"
RANGE_CHECK,"Reichweitentest"
EXTERNAL_MODULE,"Ext. HF-Modul"
BIND_OK,"Bind O.K."
BINDING_3DOTS,"Binding..."
BIND,"BIND"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Int. HF-Modul"
SET_FAILSAFE,"Failsafe"
RESET_BIND,"Binding löschen"
FACTORY_RESET,"Werkseinstellungen"
RF_SYSTEM,"HF-System"
OWNER_REGISTRATION_ID,"Sender-ID"
SELECT_DEVICE,"Empf./Laufw. auswählen"
REGISTER,"Registrierung"
VALID_FRAME_RATE,"VFR"
STATE,"Zustand"
PROTOCOL,"Protokoll"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Empfänger wirklich zurücksetzen?"
SET,"Einstellungen"
EXPO,"Expo"
UNIT_POINTS_COUNT,"Punkte"
WEIGHT,"Gew."
POINTS,"Punkte"
OFFSET,"Offset"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset wenn aktiv"
OFFSET_WHEN_INACTIVE,"Offset wenn inaktiv"
SMOOTH,"gerundet"
POINT,"Punkt "
POINTS_COUNT,"X Pkt. Kurve"
EASY_MODE,"einfacher Modus"
LOGIC_SWITCHES,"Log. Schalter"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Sicher, dass der logische Schalter gelöscht werden soll?"
NO_LOGIC_SWITCH_HINT,"Kein logischer Schalter vorhanden. Plus Button drücken zum Erstellen!"
START_CONDITION,"Zustand starten"
STOP_CONDITION,"Zustand anhalten"
TIMER_EDIT,"Stoppuhr-Einst."
PERSISTENT,"Wert speich. wenn TX AUS?"
START_VALUE,"Start Wert"
AUDIO_ACTIONS,"Audio-Aktionen"
AUDIO_ACTION,"Audio-Aktion"
ADD_A_NEW_AUDIO_ACTION,"Neue Audio-Aktion hinzufügen"
ALARM_VALUE,"Alarm Wert"
HAPTIC,"Haptik"
COUNTDOWN,"Countdown"
BEEP_COUNTDOWN,"Signalton Countdown"
START,"Start"
PLAY_FILE,"Datei abspielen"
SPACE_WITH_OTHERS," andere..."
CONFIRM_DELETE_CURVE,"Kurve tatsächlich löschen?"
CURVE_USED_BY,"Diese Kurve wird genutzt von:"
AND_WITH_TWO_SPACES," und "
CURVES,"Kurven"
VARS,"Vars"
NO_VAR_HINT,"Keine Variable vorh. + Button klicken um eine zu erstellen!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Sicher, dass Sie die Variable löschen wollen?"
NO_CURVE_HINT,"Keine Kurve vorhanden. Plus Button drücken zum Erstellen!"
CONFIRM_RESET_MIXES,"Es werden alle Mischer gelöscht. Wollen Sie wirklich fortfahren?"
ELEVATORS,"HR"
YAW,"Gier"
SWASH_PLATE,"Taumelscheibe"
EDIT_MODEL,"Modell-Konfig."
PICTURE,"Foto"
TAIL,"Leitwerk-Typ"
AILERONS,"QR"
PITCH,"Pitch"
THROTTLE,"Gas"
FLAPS,"Klappen"
ENGINE,"Motor"
RUDDERS,"SR"
ROLL,"Roll"
FUNCTION_SWITCHES,"Funkt.-Schalter"
RESET_ALL_MIXES,"Setzt alle Mischer zurück!"
CREATE_CALCULATED_SENSOR,"berechneten Sensor erstellen"
CONFIRM_DELETE_SENSORS,"Alle Sensoren löschen?\nSicher das sie fortfahren wollen?"
ON,"EIN"
OFF,"AUS"
DISCOVER_NEW_SENSORS,"Sensoren finden"
DELETE_ALL,"Lösche alle"
CREATE_DIY_SENSOR,"DIY Sensor erstellen"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Dieser Vorgang überschreibt alle Schalterprüf-Positionen mit den aktuellen Positionen. Sicher, dass Sie fortfahren möchten?"
CHECK_FUNCTION,"Prüfe Funktion"
LOAD_ALL_SWITCH_POSITIONS,"Alle Schalter-Stellungen laden"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Dieser Vorgang überschreibt alle Potentiometer-Positionen mit den aktuellen Positionen. Sicher, dass Sie fortfahren möchten?"
LOAD_ALL_POT_POSITIONS,"Alle Poti-Stellungen laden"
CALIBRATION_FINISH,"Kalibrierung abgeschlossen!"
SXR_CALIBRATION,"SxR Kalibrierung"
CLICK_WHEN_DONE,"Klicke wenn fertig."
CALIBRATING,"Kalibrierung..."
SXR_CALIBRATION_DESCRIPTION,"Positionieren Sie den SXR gemäß Grafik. Achten Sie auf die Lage der Beschriftung und der Steckerpins."
SLAVE_CH,"Ersatzkanal  "
PERCENT,"Prozent"
DESTINATION,"Zielort"
ENABLE,"AKTIV"
NO_FUNCTION_HINT,"Keine Funktion vorhanden. Plus Button drücken zum Erstellen!"
SPECIAL_FUNCTIONS,"Spez.- Funktionen"
SF,"SF"
DISABLE,"INAKT."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Diese Spezial-Funktion wirklich löschen?"
REGISTRATION_OK,"Registrierung O.K."
UID,"UID"
REGISTRATION_ID,"Sender-ID"
RX_NAME,"EMPF. Name"
RECEIVER_CONNECTED,"Empfänger verbunden"
REGISTRATION,"Registrierung"
TRIMS,"Trimmungen"
FADE_IN,"Fade In"
FADE_OUT,"Fade Out"
AUTO_DETECT,"Erkennung automatisch"
DISPLAY_DECIMALS_AND_UNIT,"Bildschirm Präzision / Einheit"
SELECT_SENSOR,"Sensor auswählen"
DIY_SENSOR,"DIY Sensor"
WAITING,"warten"
BAND,"Band"
RATIO,"Verhältnis"
MODULE,"Modul"
PROTOCOL_DECIMALS_AND_UNIT,"Protokoll Präzision / Einheit"
CROSS_TRIM,"Kreuz-Trimmung"
MOVE_TRIM_TO_SUBTRIM,"Versch. Trimmer zu Sub-Trimmer"
INSTANT_TRIM,"Direkt Trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Trim zu Sub-Trim wirklich verschieben?"
MOVE_TRIMS_TO_SUBTRIMS,"Versch. Trimmungen zu Sub-Trimmungen"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Trimmungen zu Sub-Trimmungen verschieben?"
INDEPENDENT_PER_FLIGHT_MODE,"Trimmung je Flugphase"
STICK,"Steuerknüppel "
CONFIGURE_SCREENS,"Bildschirm konfig."
TOP_SCREEN,"Bildschirm oben"
CHANGE_LAYOUT,"Ändere Layout"
FULL_SCREEN,"Vollbild"
WIDGET,"Widget"
SET_MAIN_SCREEN,"Hauptbildschirm wählen"
CONFIGURE_WIDGET,"konfiguriere Widget"
NEW_SCREEN,"Bildschirm neu"
SCREEN,"Bildsch."
CHANGE_WIDGET,"Tausche Widget"
MOVE_FORWARD,"← vorwärts bewegen"
MOVE_BACKWARD,"→ zurück bewegen"
RESET_FLIGHT,"Flug zurücksetzen"
