TRANSLATION_NAME,"English",
TRANSLATION_KEY,"en",
FORMULA,"Formula",
CALCULATED_SENSOR,"Calculated sensor",
NAME,"Name",
DECIMALS,"Decimals",
VALUE,"Value",
SENSOR_LOST_WARNING_DELAY,"Sensor lost warning delay",
WARNING_DISABLED,"Warning disabled",
RANGE,"Range",
SPACE_WITH_SAMPLES," samples",
RESET,"Reset",
TELEMETRY_SENSOR,"Telemetry sensor",
UNIT,"Unit",
WRITE_LOGS,"Write logs",
ID,"ID",
CENTER,"Center",
SUBTRIM,"Subtrim",
PWM_CENTER,"PWM center",
NORMAL,"Normal",
EQUAL,"Equal",
UNPLUGGED,"Unplugged",
BEHAVIOUR,"Behaviour",
ADD_NEW_BEHAVIOUR,"Add a new behaviour",
ADD_EXTRA_TRIM,"Add an extra trim",
EXTRA_TRIM,"Extra trim",
SLOW_UP,"Slow up",
MIN,"Min",
CURVE,"Curve",
MAX,"Max",
CHANNEL,"Channel",
INVERT,"Invert",
SLOW_DOWN,"Slow down",
INVERTED,"Inverted",
FLIGHT_MODES,"Flight modes",
MIX_FLIGHT_MODES_DESCRIPTION,"",
MIX_NAME_DESCRIPTION,"Edit name for the mix",
TRIGGER_ON_CONDITION,"Trigger ON condition",
COMMENT,"Comment",
FUNCTION,"Function",
VALUES,"Values",
ADD_NEW_VALUE,"+ Add a new value",
ACTIONS,"Actions",
ADD_NEW_ACTION,"+ Add a new action",
DURATION_HIGH,"Duration active",
RISING_EDGE,"Rising edge",
DURING,"During",
VALUE1,"Value 1",
VALUE_X,"Value (X)",
CHECK_INTERVAL,"Check interval",
ACTIVE_CONDITION,"Active condition",
MIN_DURATION,"Min duration",
MAX_DURATION,"Max duration",
DURATION_LOW,"Duration inactive",
VALUE2,"Value 2",
DELAY_BEFORE_ACTIVE,"Delay before active",
DURATION,"Duration",
SOURCE_A,"Source (A)",
TRIGGER_OFF_CONDITION,"Trigger OFF condition",
DELAY_BEFORE_INACTIVE,"Delay before inactive",
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"Source",
APPLICATION_ID,"Application ID",
PHYSICAL_ID,"Physical ID",
ACTION,"Action",
TRAINER,"Trainer",
TRAINER_MODE,"Trainer mode",
CHANNEL_RANGE,"Channel range",
CH,"CH",
OUTPUTS,"Outputs",
LAST_MODIFICATION,"Last Modification","Last Mod."
CLONE,"Clone",
MODEL_MATCH,"Model ID",
MODEL_DATA_LOAD,"Model data load",
FILE_SIZE,"File size",
MODEL_SELECT,"Model select",
NO_MODELS_DIRECTORY,"No models directory!",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Are you sure you want to delete this model?",
SUCCESS,"Success!",
CLONE_MODEL_SUCCESSFULLY,"Model cloned successfully!",
FILENAME_TOO_LONG,"Filename too long!",
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Receiver is still ON, are you sure you want to select another model?",
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?",
FILE_NAME,"Filename",
MODEL_TYPE,"Model type",
CONFIRM,"Confirm",
SET_CURRENT_MODEL,"Set current model",
UNCATEGORIZED,"Uncategorized",
CHANGE_FOLDER,"Change folder",
OPERATION,"Operation",
OPERATION_FAILED,"Operation failed!",
DELETE_FOLDER,"Delete folder",
RENAME_FOLDER,"Rename folder",
CREATE_FOLDER,"Create folder",
CONFIRM_DELETE_FLIGHT_MODE,"Are you sure you want to delete this flight mode?",
MOVE,"Move",
EDIT,"Edit",
ADD,"Add",
TELEMETRY_PORT,"Telemetry port",
WARNING,"Warning",
ERRORS,"Errors",
OPTIONS,"Options",
CONFIGURE,"Configure",
WAITING_FOR_RECEIVER,"Waiting for receiver ...",
PIN,"Pin",
TELEMETRY,"Telemetry",
RX_SETTINGS,"RX settings",
NO_RESPONSE_FROM_RECEIVER,"No response from receiver",
SBUS_OUT,"SBUS out",
SBUS_IN,"SBUS in",
TELEMETRY_25_MW,"Reduced telemetry power (25mW)",
HIGH_PWM_SPEED,"High PWM speed",
FLIGHT_DATA_RECORDER,"Flight data record",
RX_HAS_NO_FLIGHT_DATA_RECORD,"Receiver has no flight data recorder.",
DEVICE_CONFIG,"Device config",
CONFIRM_DELETE_TIMER,"Are you sure you want to delete this timer?",
TIMER,"Timer",
MODE,"Mode",
PASTE,"Paste",
TIMERS,"Timers",
COPY,"Copy",
NO_TIMER_HINT,"No timer yet. Please press the add button to create one!",
ANTENNA,"Antenna",
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"The power has been changed, please rebind!",
NO_RESPONSE_FROM_MODULE,"No response from module!",
POWER,"Power",
BAUDRATE,"Baudrate",
WAITING_FOR_MODULE,"Waiting for module ...",
TX_SETTINGS,"TX settings",
MIXES,"Mixes",
CHANNELS,"Channels",
FLIGHT_MODE,"Flight mode",
D,"D",
CONFIRM_DELETE_MIX,"Are you sure you want to delete this mix?",
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s?",
NONE,"None",
NO_MIX_HINT,"No mix yet. Please press the add button to create one!",
TYPE,"Type",
SHARE,"Share",
RX,"RX",
RACING_MODE,"Racing mode",
RANGE_CHECK,"Range check","Range"
EXTERNAL_MODULE,"External module",
BIND_OK,"Bind OK",
BINDING_3DOTS,"Binding ...",
BIND,"Bind",
FAILSAFE,"Failsafe",
INTERNAL_MODULE,"Internal module"
SET_FAILSAFE,"Set failsafe",
RESET_BIND,"Reset bind",
FACTORY_RESET,"Factory reset",
RF_SYSTEM,"RF system",
OWNER_REGISTRATION_ID,"Owner registration ID",
SELECT_DEVICE,"Select device",
REGISTER,"Register",
VALID_FRAME_RATE,"VFR",
STATE,"State",
PROTOCOL,"Protocol",
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Are you sure you want to reset this receiver ?",
SET,"Set",
EXPO,"Expo",
UNIT_POINTS_COUNT," points",
WEIGHT,"Weight",
POINTS,"Points",
OFFSET,"Offset",
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset when active",
OFFSET_WHEN_INACTIVE,"Offset when inactive",
SMOOTH,"Smooth",
POINT,"Point",
POINTS_COUNT,"Points count",
EASY_MODE,"Easy mode",
LOGIC_SWITCHES,"Logic switches",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Are you sure you want to delete this logic switch?",
NO_LOGIC_SWITCH_HINT,"No logic switch yet. Please press the add button to create one!",
START_CONDITION,"Start condition",
STOP_CONDITION,"Stop condition",
TIMER_EDIT,"Timer edit",
PERSISTENT,"Persistent",
START_VALUE,"Start value","Start"
AUDIO_ACTIONS,"Audio actions",
AUDIO_ACTION,"Audio action",
ADD_A_NEW_AUDIO_ACTION,"Add a new audio action",
ALARM_VALUE,"Alarm value","Alarm"
HAPTIC,"Haptic",
COUNTDOWN,"Countdown",
BEEP_COUNTDOWN,"Beep countdown",
START,"Start",
PLAY_FILE,"Play file",
SPACE_WITH_OTHERS," other places",
CONFIRM_DELETE_CURVE,"Are you sure you want to delete this curve?",
CURVE_USED_BY,"This curve is used by:",
