TRANSLATION_NAME,"Español"
TRANSLATION_KEY,"es"
FORMULA,"Fórmula"
CALCULATED_SENSOR,"Sensor calculado"
NAME,"Nombre"
DECIMALS,"Decimales"
VALUE,"Valor"
SENSOR_LOST_WARNING_DELAY,"Alerta sensores perdidos"
WARNING_DISABLED,"Alerta Desactivada"
RANGE,"Intervalo"
SPACE_WITH_SAMPLES," ejemplos"
RESET,"Restablecer"
TELEMETRY_SENSOR,"Sensor telemetría"
UNIT,"Unidad"
WRITE_LOGS,"Guardar registros"
ID,"ID"
CENTER,"Centro"
SUBTRIM,"Subtrim"
PWM_CENTER,"Centro PWM"
NORMAL,"Normal"
EQUAL,"Igual"
UNPLUGGED,"Desconectado"
BEHAVIOUR,"Comportamiento"
ADD_NEW_BEHAVIOUR,"Agreg. nuevo comportam."
ADD_EXTRA_TRIM,"Agreg. trim extra"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Ralent. subida"
MIN,"MIN."
CURVE,"Curva"
MAX,"MAX."
CHANNEL,"Canal"
INVERT,"Invertir"
SLOW_DOWN,"Ralent. bajada"
INVERTED,"Invertido"
FLIGHT_MODES,"Modos vuelo"
MIX_FLIGHT_MODES_DESCRIPTION,"Descripc. modo vuelo"
MIX_NAME_DESCRIPTION,"Nombre mezcla"
TRIGGER_ON_CONDITION,"Condic. para ON"
COMMENT,"Comentario"
FUNCTION,"Función"
VALUES,"Valores"
ADD_NEW_VALUE,"+ Agreg. nuevo valor"
ACTIONS,"Acciones"
ADD_NEW_ACTION,"+ Agreg. nueva acción"
DURATION_HIGH,"Durac. actividad"
RISING_EDGE,"Borde ascend."
DURING,"Durante"
VALUE1,"Valor 1"
VALUE_X,"Valor (X)"
CHECK_INTERVAL,"Frec. comprobación"
ACTIVE_CONDITION,"Condic. activa"
MIN_DURATION,"Durac. mínima"
MAX_DURATION,"Durac. Máxima"
DURATION_LOW,"Durac. inactividad"
VALUE2,"Valor 2"
DELAY_BEFORE_ACTIVE,"Retraso antes ON"
DURATION,"Duración"
SOURCE_A,"Fuente (A)"
TRIGGER_OFF_CONDITION,"Condic. para OFF"
DELAY_BEFORE_INACTIVE,"Retraso antes OFF"
DELAY_ON_OFF,"Retraso antes ON / OFF"
SOURCE,"Fuente"
APPLICATION_ID,"ID Aplicac."
PHYSICAL_ID,"ID Física"
ACTION,"Acción"
TRAINER,"Entrenador"
TRAINER_MODE,"Modo entrenador"
CHANNEL_RANGE,"Interv. Canales"
CH,"CH"
OUTPUTS,"Salidas"
LAST_MODIFICATION,"última modific."
CLONE,"Duplicar"
MODEL_MATCH,"ID Modelo"
MODEL_DATA_LOAD,"Cargar modelo"
FILE_SIZE,"Tamaño archivo"
MODEL_SELECT,"Selec. modelo"
NO_MODELS_DIRECTORY,"¡Direct. sin modelos!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Se borrará el modelo, ¿está seguro?"
SUCCESS,"¡Exito!"
CLONE_MODEL_SUCCESSFULLY,"¡Modelo clonado con éxito!"
FILENAME_TOO_LONG,"¡Nombre demasiado largo!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Receptor encendido, ¿está seguro de cambiar de modelo?"
CONFIRM_SELECT_ANOTHER_MODEL,"¿Confirma quiere seleccionar otro modelo?"
FILE_NAME,"Nombre archivo"
MODEL_TYPE,"Tipo de modelo"
CONFIRM,"Confirmar"
SET_CURRENT_MODEL,"Selecc. modelo"
UNCATEGORIZED,"Sin categoría"
CHANGE_FOLDER,"Cambiar Carpeta"
OPERATION,"Operación"
OPERATION_FAILED,"¡Fallo operación!"
DELETE_FOLDER,"Borrar Carpeta"
RENAME_FOLDER,"Renombrar Carpeta"
CREATE_FOLDER,"Crear Carpeta"
CONFIRM_DELETE_FLIGHT_MODE,"¿Confirma borrar modo de vuelo?"
MOVE,"Mover"
EDIT,"Editar"
ADD,"Agregar"
TELEMETRY_PORT,"Puerto Telemetría"
WARNING,"Advertencia"
ERRORS,"Errores"
OPTIONS,"Opciones"
CONFIGURE,"Configurar"
WAITING_FOR_RECEIVER,"A la espera de receptor..."
PIN,"Pin"
TELEMETRY,"Telemetría"
RX_SETTINGS,"Parámetros del RX"
NO_RESPONSE_FROM_RECEIVER,"Sin respuesta del receptor"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetría potencia reducida (25mW)"
HIGH_PWM_SPEED,"Alta Velocidad PWM"
FLIGHT_DATA_RECORDER,"Grabac. Datos Vuelo"
RX_HAS_NO_FLIGHT_DATA_RECORD,"El receptor no ha grabado datos de vuelo."
DEVICE_CONFIG,"Config. sensor"
CONFIRM_DELETE_TIMER,"¿Confirma eliminar cronómetro?"
TIMER,"Crono"
MODE,"Modo"
PASTE,"Pegar"
TIMERS,"Cronómetros"
COPY,"Copiar"
NO_TIMER_HINT,"Ningún cronómetro. ¡Pulse '+' para crear uno!"
ANTENNA,"Antena"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"La potencia ha cambiado. Vuelva a vincular"
NO_RESPONSE_FROM_MODULE,"El módulo no responde"
POWER,"Potencia"
BAUDRATE,"Baudios"
WAITING_FOR_MODULE,"Esperando módulo..."
TX_SETTINGS,"Parámet. del TX"
MIXES,"Mezclas"
CHANNELS,"Canales"
FLIGHT_MODE,"Modo de vuelo"
D,"D"
CONFIRM_DELETE_MIX,"¿Confirma borrar mezcla?"
CONFIRM_DELETE_SSS,"¿Está seguro de borrar %s ?"
NONE,"Ninguno"
NO_MIX_HINT,"No hay mezclas. Pulse '+' para crear una"
TYPE,"Tipo"
SHARE,"Compartir"
RX,"RX"
RACING_MODE,"Modo carrera"
RANGE_CHECK,"Prueba alcance"
EXTERNAL_MODULE,"Módulo externo"
BIND_OK,"Enlace OK"
BINDING_3DOTS,"Enlazando..."
BIND,"Enlace"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Módulo interno"
SET_FAILSAFE,"Definir failsafe"
RESET_BIND,"Reiniciar enlace"
FACTORY_RESET,"Ajustes de Fábrica"
RF_SYSTEM,"Sistema RF"
OWNER_REGISTRATION_ID,"Regist. ID propietario"
SELECT_DEVICE,"Elegir dispositivo"
REGISTER,"Registrar"
VALID_FRAME_RATE,"VFR"
STATE,"Estado"
PROTOCOL,"Protocolo"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"¿Confirma reinicio de receptor?"
SET,"Definir"
EXPO,"Expo"
UNIT_POINTS_COUNT,"Puntos por unidad"
WEIGHT,"Peso"
POINTS,"Puntos"
OFFSET,"Desplazamiento"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Desplazam. con línea activa"
OFFSET_WHEN_INACTIVE,"Desplazam. con línea inactiva"
SMOOTH,"Suavizar"
POINT,"Punto"
POINTS_COUNT,"Num. de puntos"
EASY_MODE,"Modo simple"
LOGIC_SWITCHES,"Interruptores lógicos"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"¿Confirma borrado de Int. Lógico?"
NO_LOGIC_SWITCH_HINT,"No hay interruptores lógicos. Pulse '+' para crear uno"
START_CONDITION,"Condición de inicio"
STOP_CONDITION,"Condición de parada"
TIMER_EDIT,"Editar cronómetro"
PERSISTENT,"Persistente"
START_VALUE,"Valor de partida"
AUDIO_ACTIONS,"Acciones de Audio"
AUDIO_ACTION,"Acción de Audio"
ADD_A_NEW_AUDIO_ACTION,"Agreg. nueva acción audio"
ALARM_VALUE,"Valor de alarma"
HAPTIC,"Vibrar"
COUNTDOWN,"Cuenta-atrás"
BEEP_COUNTDOWN,"Pitido cuenta-atrás"
START,"Inicio"
PLAY_FILE,"Reproduce Fichero"
SPACE_WITH_OTHERS,"otros..."
CONFIRM_DELETE_CURVE,"Confirme borrado de curva?"
CURVE_USED_BY,"Curva utilizada por:"
AND_WITH_TWO_SPACES,"y  "
CURVES,"Curvas"
VARS,"Vars"
NO_VAR_HINT,""Ningún var. Presione el boton (+) para crear una"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Confirme borrado de este var"
NO_CURVE_HINT,"Ninguna curva. Pulse (+) para crear una"
CONFIRM_RESET_MIXES,"Se eliminarán todas las mezclas. ¿Continuar?"
ELEVATORS,"Profundidad"
YAW,"Guiñada"
SWASH_PLATE,"Plato"
EDIT_MODEL,"Editar modelo"
PICTURE,"Imagen"
TAIL,"Cola"
AILERONS,"Alerones"
PITCH,"Paso"
THROTTLE,"Motor"
FLAPS,"Flaps"
ENGINE,"Motor"
RUDDERS,"Dirección"
ROLL,"Alabeo"
FUNCTION_SWITCHES,"Interrupt. de función"
RESET_ALL_MIXES,"Elimina todas las mezclas"
CREATE_CALCULATED_SENSOR,"Crear sensor calculado"
CONFIRM_DELETE_SENSORS,"Todos los sensores serán eliminados. ¿Está seguro?"
ON,"Encendido"
OFF,"Apagado"
