TRANSLATION_NAME,"Français",
TRANSLATION_KEY,"fr",
MODEL,"Modèle",
MODEL_SELECT,"Choix modèle",
NO_MODELS_DIRECTORY,"Répertoire modèles absent !",
EDIT_MODEL,"Editer modèle",
FLIGHT_MODES,"Phases de vol",
MIXES,"Mixages",
OUTPUTS,"Sorties",
TIMERS,"Chronos",
TRIMS,"Trims",
RF_SYSTEM,"Système RF",
TELEMETRY,"Télémétrie",
CHECKLIST,"Checklist",
LOGIC_SWITCHES,"Inters logiques",
SPECIAL_FUNCTIONS,"Fonctions",
CURVES,"Courbes",
VARS,"Vars",
NO_VAR_HINT,"Aucune Var. Appuyer sur le bouton '+' pour en créer une !",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Suppression Var ?",
TRAINER,"Ecolage",
DEVICE_CONFIG,"Config périph",
LAST_MODIFICATION,"Dernière modification","Date mod."
CLONE,"Dupliquer",
MODEL_MATCH,"ID Modèle",
MODEL_DATA_LOAD,"Chargement modèle",
FILE_SIZE,"Taille fichier","Taille"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Suppression modèle ?",
SUCCESS,"Succès !",
CLONE_MODEL_SUCCESSFULLY,"Copie modèle réussie !",
FILENAME_TOO_LONG,"Nom fichier trop long !",
RX_STILL_ON_SELECT_ANOTHER_MODEL,"RX toujours ON. Changer modèle ?",
CONFIRM_SELECT_ANOTHER_MODEL,"Sélectionner autre modèle ?",
FILE_NAME,"Nom",
CONFIRM,"Confirmer",
SET_CURRENT_MODEL,"Sélectionner",
UNCATEGORIZED,"Non trié",
CHANGE_FOLDER,"Déplacer",
OPERATION,"Opération",
OPERATION_FAILED,"Echec opération !",
DELETE_FOLDER,"Supprimer dossier",
RENAME_FOLDER,"Renommer dossier",
CREATE_FOLDER,"Créer nouveau dossier",
MODEL_TYPE,"Type de modèle","Type"
FIXED_WING,"Avion",
GLIDER,"Planeur",
HELI,"Hélicoptère","Hélico"
MULTI,"Multi",
