TRANSLATION_NAME,"תירבע"
TRANSLATION_KEY,"he"
TRANSLATION_DIRECTION,"R2L"
FORMULA,"אחסונ"
CALCULATED_SENSOR,"בשוחמ ןשייח"
NAME,"םש"
DECIMALS,"ילמיצד"
VALUE,"ךרע"
SENSOR_LOST_WARNING_DELAY,"ןשייח קותינ תארתה"
WARNING_DISABLED,"היובכ הרהזא"
RANGE,"חווט"
SPACE_WITH_SAMPLES," תואמגוד"
RESET,"סופיא"
TELEMETRY_SENSOR,"הירטמלט ןשייח"
UNIT,"הדיחי"
WRITE_LOGS,"םיגול רומש"
ID,"ההזמ"
CENTER,"זכרמ"
SUBTRIM,"םירט באס"
PWM_CENTER,"PWM זכרמ"
NORMAL,"ליגר"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"הלעמל טאה"
MIN,"םומינימ"
CURVE,"המוקע"
MAX,"םומיסקמ"
CHANNEL," ץורע"
INVERT,"ךופיה"
SLOW_DOWN,"הטמל טאה"
INVERTED,"ךופה"
FLIGHT_MODES,"הסיט יבצמ"
MIX_FLIGHT_MODES_DESCRIPTION,"הסיטה בצמל רואית"
MIX_NAME_DESCRIPTION,"רסקימ םש ךורע"
TRIGGER_ON_CONDITION,"הלעפה בצמ לעפה"
COMMENT,"הרעה"
FUNCTION,"היצקנופ"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"ליעפ ןמז ךשמ"
RISING_EDGE,"הלעמל הציפק"
DURING,"ןמזב"
VALUE1,"1 ךרע"
VALUE_X,"ךרע (X)"
CHECK_INTERVAL,"ןמז חוורמ תקידב"
ACTIVE_CONDITION,"ליעפ בצמ"
MIN_DURATION,"הייהש ןמז םומינימ"
MAX_DURATION,"Max duration"
DURATION_LOW,"תוליעפ יא ןמז ךשמ"
VALUE2,"2 ךרע"
DELAY_BEFORE_ACTIVE,"ליעפ בצמל הסינכ ינפל היהשה"
DURATION,"ןמז ךרוא"
SOURCE_A,"רוקמ (A)"
TRIGGER_OFF_CONDITION,"יובכ בצמ לעפה"
DELAY_BEFORE_INACTIVE,"ליעפ אל בצמל הסינכ ינפל היהשה"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"רוקמ"
APPLICATION_ID,"יביטקילפא ההזמ"
