TRANSLATION_NAME,"Italiano",
TRANSLATION_KEY,"it",
FORMULA,"Formula",
CALCULATED_SENSOR,"Sensore Calcolato",
NAME,"Nome",
DECIMALS,"Decimali",
VALUE,"Valore",
SENSOR_LOST_WARNING_DELAY,"Avviso Sensore perso",
WARNING_DISABLED,"Avvisi disattivati",
RANGE,"Intervallo",
SPACE_WITH_SAMPLES," campioni",
RESET,"Reset",
TELEMETRY_SENSOR,"Sensore Telemetria",
UNIT,"Unità",
WRITE_LOGS,"Scrivi Logs",
ID,"ID",
CENTER,"Centro",
SUBTRIM,"Subtrim",
PWM_CENTER,"Centro PWM",
NORMAL,"Normale",
EQUAL,"Uguale",
UNPLUGGED,"Scollegato",
BEHAVIOUR,"Comportamento",
ADD_NEW_BEHAVIOUR,"Aggiungi un comportamento",
ADD_EXTRA_TRIM,"Aggiungi Trim extra",
EXTRA_TRIM,"Extra trim",
SLOW_UP,"Rallenta Salita",
MIN,"Min",
CURVE,"Curva",
MAX,"Max",
CHANNEL,"Canale",
INVERT,"Inverti",
SLOW_DOWN,"Rallenta Discesa",
INVERTED,"Invertito",
FLIGHT_MODES,"Fasi di Volo",
MIX_FLIGHT_MODES_DESCRIPTION,"",
MIX_NAME_DESCRIPTION,"Modifica nome per il mixer",
TRIGGER_ON_CONDITION,"Condizione Trigger ON",
COMMENT,"Commento",
FUNCTION,"Funzione",
VALUES,"Valori",
ADD_NEW_VALUE,"+ Aggiungi un nuovo valore",
ACTIONS,"Azioni",
ADD_NEW_ACTION,"+ Aggiungi una nuova Azione",
DURATION_HIGH,"Durata attiva",
RISING_EDGE,"Innalza Soglia",
DURING,"Durante",
VALUE1,"Valore 1",
VALUE_X,"Valore (X)",
CHECK_INTERVAL,"Controllo intervallo",
ACTIVE_CONDITION,"Attivazione",
MIN_DURATION,"Durata Min",
MAX_DURATION,"Durata Max",
DURATION_LOW,"Durata inattiva",
VALUE2,"Valore 2",
DELAY_BEFORE_ACTIVE,"Ritardo prima di attivare",
DURATION,"Durata",
SOURCE_A,"Sorgente (A)",
TRIGGER_OFF_CONDITION,"Condizione Trigger OFF",
DELAY_BEFORE_INACTIVE,"Ritardo prima di disattivare",
DELAY_ON_OFF,"Ritardo ON / OFF"
SOURCE,"Comando",
APPLICATION_ID,"ID Applicazione",
PHYSICAL_ID,"ID Fisico",
ACTION,"Azione",
TRAINER,"Trainer",
TRAINER_MODE,"Modo Allievo",
CHANNEL_RANGE,"Intervallo Canali",
CH,"CH",
OUTPUTS,"Uscite",
LAST_MODIFICATION,"Ultima Modifica",
CLONE,"Clona",
MODEL_MATCH,"Model ID",
MODEL_DATA_LOAD,"Carica dati Modello",
FILE_SIZE,"Dimensione File",
MODEL_SELECT,"Selezione Modello",
NO_MODELS_DIRECTORY,"No models directory!",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Sei sicuro di volere eliminare questo modello?",
SUCCESS,"Eseguito!",
CLONE_MODEL_SUCCESSFULLY,"Modello clonato!",
FILENAME_TOO_LONG,"Nome file troppo lungo!",
RX_STILL_ON_SELECT_ANOTHER_MODEL,"La ricevente è ancora accesa, sei sicuro di voler passare a questo modello?",
CONFIRM_SELECT_ANOTHER_MODEL,"Sei sicuro di voler passare a questo modello?",
FILE_NAME,"Nome File",
MODEL_TYPE,"Tipo Modello",
CONFIRM,"Conferma",
SET_CURRENT_MODEL,"Imposta modello attuale",
UNCATEGORIZED,"Nessuna Categoria",
CHANGE_FOLDER,"Cambia Cartella",
OPERATION,"Operazione",
OPERATION_FAILED,"Operazione Fallita!",
DELETE_FOLDER,"Cancella Cartella",
RENAME_FOLDER,"Rinomina Cartella",
CREATE_FOLDER,"Crea Cartella",
CONFIRM_DELETE_FLIGHT_MODE,"Sei sicuro di voler cancellare questa fase di volo?",
MOVE,"Muovi",
EDIT,"Modifica",
ADD,"Aggiungi",
TELEMETRY_PORT,"Porta Telem.",
WARNING,"Attenzione",
ERRORS,"Errori",
OPTIONS,"Opzioni",
CONFIGURE,"Configura",
WAITING_FOR_RECEIVER,"Attesa Ricevente...",
PIN,"Pin",
TELEMETRY,"Telemetria",
RX_SETTINGS,"Impostazioni RX",
NO_RESPONSE_FROM_RECEIVER,"Nessuna risposta dalla rx",
SBUS_OUT,"SBUS Out",
SBUS_IN,"SBUS In",
TELEMETRY_25_MW,"Telemetria 25mW potenza ridotta",
HIGH_PWM_SPEED,"PWM Alta Velocità",
FLIGHT_DATA_RECORDER,"Registro Dati Volo",
RX_HAS_NO_FLIGHT_DATA_RECORD,"La ricevente non ha Dati Volo registrati.",
DEVICE_CONFIG,"Configura Dispositivo",
CONFIRM_DELETE_TIMER,"Sei sicuro che vuoi cancellare questo timer?",
TIMER,"Timer",
MODE,"Modo",
PASTE,"Incolla",
TIMERS,"Timers",
COPY,"Copia",
NO_TIMER_HINT,"Nessun Timer. Premi aggiungi per crearne uno!",
ANTENNA,"Antenna",
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"La Potenza Tx è cambiata, si prega di ricollegare!",
NO_RESPONSE_FROM_MODULE,"Nessuna risposta dal modulo!",
POWER,"Potenza",
BAUDRATE,"Baudrate",
WAITING_FOR_MODULE,"Attesa Modulo...",
TX_SETTINGS,"Impostazioni TX",
MIXES,"Mixes",
CHANNELS,"Canali",
FLIGHT_MODE,"Fase di Volo",
D,"D",
CONFIRM_DELETE_MIX,"Sei Sicuro di voler cancellare questo mix?",
CONFIRM_DELETE_SSS,"Sei Sicuro di voler cancellare %s",
NONE,"Nessuno",
NO_MIX_HINT,"Nessun Mix ancora. Selezione Aggiungi per crearne uno!",
TYPE,"Tipo",
SHARE,"Condividi",
RX,"RX",
RACING_MODE,"Modo Corsa",
RANGE_CHECK,"Controllo Portata","Portata"
EXTERNAL_MODULE,"Modulo Esterno",
BIND_OK,"Collegamento OK",
BINDING_3DOTS,"Collegamento...",
BIND,"Collegamento",
FAILSAFE,"Failsafe",
INTERNAL_MODULE,"Modulo Interno",
SET_FAILSAFE,"Impostazioni Failsafe",
RESET_BIND,"Ripristina collegamento",
FACTORY_RESET,"Ripristina ai valori di Fabbrica",
RF_SYSTEM,"Sistema RF",
OWNER_REGISTRATION_ID,"ID Registrazione Proprietario",
SELECT_DEVICE,"Seleziona dispositivo",
REGISTER,"Registrazione",
VALID_FRAME_RATE,"VFR",
STATE,"Stato",
PROTOCOL,"Protocollo",
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Sei sicuro di volere reImpostare questa RX ?",
SET,"Imposta",
EXPO,"Expo",
UNIT_POINTS_COUNT,"punti",
WEIGHT,"Escursione",
POINTS,"Punti",
OFFSET,"Offset",
AUTO_OFFSET,"Offset automatico"
OFFSET_WHEN_ACTIVE,"Offset quando linea attiva",
OFFSET_WHEN_INACTIVE,"Offset quando linea inattiva",
SMOOTH,"Morbido",
POINT,"Punti",
POINTS_COUNT,"Numero Punti",
EASY_MODE,"Modo Facile",
LOGIC_SWITCHES,"Interruttori Logici","Int. Logici"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Sei sicuro di eliminare questo int.logico?",
NO_LOGIC_SWITCH_HINT,"Nessun interruttore Logico. Seleziona aggiungi per crearne uno!",
START_CONDITION,"Condizione di Avvio/Start",
STOP_CONDITION,"Condizione di Fine/Stop",
TIMER_EDIT,"Modifica Timer",
PERSISTENT,"Persistente",
START_VALUE,"Valore Iniziale","Inizio"
AUDIO_ACTIONS,"Azioni Audio",
AUDIO_ACTION,"Azione Audio",
ADD_A_NEW_AUDIO_ACTION,"Aggiungi una nuova azione audio",
ALARM_VALUE,"Valore Allarme","Allarme"
HAPTIC,"Vibrazione",
COUNTDOWN,"Conto alla rovescia",
BEEP_COUNTDOWN,"Beep conto alla rovescia",
START,"Inizia",
PLAY_FILE,"Riproduci File",
SPACE_WITH_OTHERS," altri...",
CONFIRM_DELETE_CURVE,"Sei sicuro di voler cancellare questa curva?",
CURVE_USED_BY,"Questa curva è utilizzata dai seguenti mixer:",
AND_WITH_TWO_SPACES," e ",
CURVES,"Curve",
VARS,"Vars",
NO_VAR_HINT,"Nessuna var ancora. Premi + per crearne una!",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Sicuro di voler cancellare questa var?",
NO_CURVE_HINT,"Nessuna curva presente. Seleziona aggiungi per crearne una!",
CONFIRM_RESET_MIXES,"Questa operazione provocherà il reset di tutti i mixer.\nSei sicuro di voler continuare?",
ELEVATORS,"Elevatore",
YAW,"Yaw",
SWASH_PLATE,"Piatto Ciclico",
EDIT_MODEL,"Modifica Modello",
PICTURE,"Foto",
TAIL,"Piano di Coda",
AILERONS,"Alettoni",
PITCH,"Passo",
THROTTLE,"Gas",
FLAPS,"Flaps",
ENGINE,"Motore",
RUDDERS,"Direzionale",
ROLL,"Roll",
FUNCTION_SWITCHES,"Interruttori Funzione",
RESET_ALL_MIXES,"Reset Tutti i Mixer",
CREATE_CALCULATED_SENSOR,"Crea sensore calcolato",
CONFIRM_DELETE_SENSORS,"Tutti i sensori saranno cancellati\nSicuro di voler continuare?",
ON,"ON",
OFF,"OFF",
DISCOVER_NEW_SENSORS,"Scopri nuovi sensori",
DELETE_ALL,"Cancella tutto",
CREATE_DIY_SENSOR,"Crea Sensore DIY",
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Questa operazione sovrascriverà il controllo posizione interruttori con la posizione attuale. Sicuro di voler continuare?",
CHECK_FUNCTION,"Controllo Funzione",
LOAD_ALL_SWITCH_POSITIONS,"Salva posizione interruttori",
CONFIRM_LOAD_ALL_POT_POSITIONS,"Questa operazione sovrascriverà il controllo posizione potenziometri con la posizione attuale. Sicuro di voler continuare?",
LOAD_ALL_POT_POSITIONS,"Salva posizione potenziometri",
CALIBRATION_FINISH,"Calibrazione finita!",
SXR_CALIBRATION,"Calibrazione SxR",
CLICK_WHEN_DONE,"Click quando fatto",
CALIBRATING,"Calibrazione...",
SXR_CALIBRATION_DESCRIPTION,"Descrizione della Calibrazione SxR",
SLAVE_CH,"CH Allievo",
PERCENT,"Percentuale",
DESTINATION,"Destinazione",
ENABLE,"Abilita",
NO_FUNCTION_HINT,"Nessuna Funzione presente. Seleziona aggiungi per crearne una!",
SPECIAL_FUNCTIONS,"Funzioni Speciali",
SF,"SF",
DISABLE,"Disabilita",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Sei sicuro di voler cancellare questa funzione speciale?",
REGISTRATION_OK,"Registrazione OK",
UID,"UID",
REGISTRATION_ID,"ID Registrazione",
RX_NAME,"Nome RX",
RECEIVER_CONNECTED,"Ricevente connessa",
REGISTRATION,"Registrazione",
TRIMS,"Trims",
FADE_IN,"Fade In",
FADE_OUT,"Fade Out",
AUTO_DETECT,"Auto Rilevamento",
DISPLAY_DECIMALS_AND_UNIT,"Mostra Precisione / Unita",
SELECT_SENSOR,"Seleziona Sensore",
DIY_SENSOR,"Sensore DIY",
WAITING,"Attesa",
BAND,"Banda",
RATIO,"Rapporto",
MODULE,"Modulo",
PROTOCOL_DECIMALS_AND_UNIT,"Scala Precisione/Unita",
CROSS_TRIM,"Cross Trim",
MOVE_TRIM_TO_SUBTRIM,"Muove trim al subtrim",
INSTANT_TRIM,"Instant trim",
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Confermi muovi trim ai subtrim?",
MOVE_TRIMS_TO_SUBTRIMS,"Muove i trim ai subtrim",
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Confermi muovi trim ai subtrim?",
INDEPENDENT_PER_FLIGHT_MODE,"Trim Independente per FV",
STICK,"Stick",
CONFIGURE_SCREENS,"Configura Schermate",
TOP_SCREEN,"Schermo Superiore",
CHANGE_LAYOUT,"Cambia Layout",
FULL_SCREEN,"Schermo Pieno",
WIDGET,"Widget",
SET_MAIN_SCREEN,"Imposta schermo principale",
CONFIGURE_WIDGET,"Configura Widget",
NEW_SCREEN,"Nuova Schermata",
SCREEN,"Schermo",
CHANGE_WIDGET,"Cambio Widget","Cambio..."
MOVE_FORWARD,"← Muovi avanti",
MOVE_BACKWARD,"→ Muove indietro",
RESET_FLIGHT,"Reset Volo",
RESET_TIMERS,"Reset Timer",
RESET_TELEMETRY,"Reset Telemetria",
HOME,"Home",
ADD_AFTER,"Agg Dopo...",
ADD_MIX_FAILED,"Aggiungi Mix fallito!",
MAX_MIXES_REACHED,"Il numero massimo di mixer è stato raggiunto!",
FIRST_POSITION,"Prima posizione",
MIXES_LIBRARY,"Libreria Mixer",
LOCAL_ADDRESS,"Indirizzo Locale",
WAITING_FOR_DEVICES,"Attesa dispositivi...",
LOCAL_NAME,"Nome Locale",
SEARCH_DEVICES,"Cerca Dispositivi",
BLUETOOTH_DEVICE_CONNECTED,"Disp. Bluetooth connesso",
CONNECT_LAST_DEVICE,"Connetti ultimo Disp.",
DEVICE,"Dispositivo"
NO_BLUETOOTH_DEVICE_FOUND,"Nessun Disp. Bluetooth!",
SPEAKER_MUTE,"Altoparlante Muto",
DISCONNECT,"Disconnetti",
WAITING_FOR_DEVICE,"Attesa connessione",
DIST_ADDRESS,"Indirizzo Dist",
CONNECTING,"Connessione",
ROTARY_ENCODER_HALF_STEPS,"Encoder Rotella passo dimezzato"
BLUETOOTH_AUDIO,"Audio Bluetooth"
NOT_INSTALLED,"Non Installato (default)"
INSTALLED_AS_AN_OPTION,"Installato come opzione"
RESET_MODULE,"Reset Modulo",
HIGH_SPEED,"Velocità Alta",
NORMAL_SPEED,"Velocità Normale",
MODEL,"Modello",
CHECKLIST,"Checklist",
FILE_MANAGER,"File Manager",
SOUND,"Suono & Vibrazione",
STICKS,"Sticks",
DATE_TIME,"Data & Ora",
HARDWARE,"Hardware",
INFO,"Info",
SERIAL_NUMBER,"Numero Seriale",
RESET_FACTORY_SETTINGS,"Ripristina valori di fabbrica",
CONFIRM_RESET_FACTORY_SETTINGS,"Ripristina valori di fabbrica?",
SYSTEM,"Sistema",
DISPLAY,"Display",
KEYBOARD,"Tastiera",
ENABLE_SLIDER,"Abilita slider"
DISABLE_SLIDER,"Disabilita slider"
ALERTS,"Avvisi",
SPECTRUM_ANALYSER,"An.Spettro",
BATTERY,"Batteria",
CHECKLIST_WARNING,"Allerta Checklist",
RADIO_IS_IN_SILENT_MODE,"La Radio è in Modo Silenzioso",
RADIO_BATTERY_IS_LOW,"Batteria Radio Scarica",
THROTTLE_IS_NOT_IDLE,"Gas non al minimo",
ARE_NOT_IN_SAFE_POSITION," non sono in posizione sicura",
IS_NOT_IN_SAFE_POSITION," non è in posizione sicura",
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Interruttori Funzione posizione non sicura",
FAILSAFE_IS_NOT_SET,"Failsafe non impostato",
RTC_BATTERY_IS_LOW,"Batteria RTC Scarica",
ALWAYS_ON,"Attivo",
YES,"Si",
DIGITAL_RSSI,"RSSI Digitale",
GYRO,"Gyro",
GYRO_SWITCHES,"Interruttori Gyro"
LANGUAGE,"Lingua",
SWITCHES,"Interruttori",
TOP_TOOLBAR,"Barra Superiore",
NO,"No",
BRIGHTNESS,"Luminosità",
KEYS,"Tasti",
