TRANSLATION_NAME,"Nederlands"
TRANSLATION_KEY,"nl"
FORMULA,"Formule"
CALCULATED_SENSOR,"Berekende Sensor"
NAME,"Naam"
DECIMALS,"Decimalen"
VALUE,"Waarde"
SENSOR_LOST_WARNING_DELAY,"Waarschuwing, sensor verloren"
WARNING_DISABLED,"Warning Disabled"
RANGE,"Bereik"
SPACE_WITH_SAMPLES," samples"
RESET,"Reset"
TELEMETRY_SENSOR,"Telemetrie sensor"
UNIT,"Eenheid"
WRITE_LOGS,"Logs Schrijven"
ID,"ID"
CENTER,"Midden"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM Center"
NORMAL,"Normaal"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Langzaam Omhoog"
MIN,"Min"
CURVE,"Curven"
MAX,"Max"
CHANNEL,"Kanaal"
INVERT,"Omkeren"
SLOW_DOWN,"Langzaam Omlaag"
INVERTED,"Omgekeerd"
FLIGHT_MODES,"Vluchtmodussen"
MIX_FLIGHT_MODES_DESCRIPTION,""
MIX_NAME_DESCRIPTION,"Wijzig mixer naam"
TRIGGER_ON_CONDITION,"Trigger AAN conditie"
COMMENT,"Commentaar"
FUNCTION,"Functie"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"Duur actief"
RISING_EDGE,"Opkomende EDGE"
DURING,"Tijdens"
VALUE1,"Waarde 1"
VALUE_X,"Waarde (X)"
CHECK_INTERVAL,"Controleer interval"
ACTIVE_CONDITION,"Aktieve conditie"
MIN_DURATION,"Minste duur"
MAX_DURATION,"Max duration"
DURATION_LOW,"Duur inactief"
VALUE2,"Waarde 2"
DELAY_BEFORE_ACTIVE,"Vertraging voor actief"
DURATION,"Duratie"
SOURCE_A,"Bron (A)"
TRIGGER_OFF_CONDITION,"Trigger UIT conditie"
DELAY_BEFORE_INACTIVE,"Vertraging voor inactief"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"Bron"
APPLICATION_ID,"Applicatie ID"
PHYSICAL_ID,"Fysiek ID"
ACTION,"Actie"
TRAINER,"Trainer"
TRAINER_MODE,"Trainer Mode"
CHANNEL_RANGE,"Kanaal Bereik"
CH,"CH"
OUTPUTS,"Uitgangen"
LAST_MODIFICATION,"Laatste Modificatie"
CLONE,"Kloon"
MODEL_MATCH,"Model ID"
MODEL_DATA_LOAD,"Model data laden"
FILE_SIZE,"Bestands grootte"
MODEL_SELECT,"Modelselectie"
