TRANSLATION_NAME,"Norsk"
TRANSLATION_KEY,"no"
MODEL,"Modell"
MODEL_SELECT,"Velg modell"
NO_MODELS_DIRECTORY,"Ingen modell-mappe!"
EDIT_MODEL,"Rediger modell"
FLIGHT_MODES,"FlightMode"
MIXES,"Mikser"
OUTPUTS,"Utgang"
TIMERS,"Timere"
TRIMS,"Trimmer"
RF_SYSTEM,"Sendesystem"
TELEMETRY,"Telemetri"
CHECKLIST,"Sjekkliste"
LOGIC_SWITCHES,"Logiske brytere"
SPECIAL_FUNCTIONS,"Spesialfunksjoner"
CURVES,"Kurver"
VARS,"Vars"
NO_VAR_HINT,"Ingen Var ennå. Trykk på '+' for å opprette en!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Er du sikker på at du vil slette denne Var´en?"
TRAINER,"Trainer"
DEVICE_CONFIG,"Konfigurer enhet"
FORMULA,"Formel"
CALCULATED_SENSOR,"Kalkulert sensor"
NAME,"Navn"
DECIMALS,"Desimaler"
VALUE,"Verdi"
SENSOR_LOST_WARNING_DELAY,"Alarm! Mistet sensor"
WARNING_DISABLED,"Alarmer skrudd av"
RANGE,"Måleområde"
SPACE_WITH_SAMPLES," målinger"
RESET,"Nullstill"
TELEMETRY_SENSOR,"Telemetri-sensor"
UNIT,"Enhet"
WRITE_LOGS,"Skriv logger"
ID,"ID"
CENTER,"Senter"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM senter"
NORMAL,"Normal"
EQUAL,"Er lik"
UNPLUGGED,"Plugget ut"
BEHAVIOUR,"Oppførsel"
ADD_NEW_BEHAVIOUR,"Legg til en ny oppførsel"
ADD_EXTRA_TRIM,"Legg til en ekstra trim"
EXTRA_TRIM,"Ekstra trim"
SLOW_UP,"Sakte opp"
MIN,"Minimum"
CURVE,"Kurve"
MAX,"Maksimum"
CHANNEL,"Kanal"
INVERT,"Reverser"
SLOW_DOWN,"Sakte ned"
INVERTED,"Reverser"
MIX_FLIGHT_MODES_DESCRIPTION,"FlightMode miks"
MIX_NAME_DESCRIPTION,"Rediger mikser-navn"
TRIGGER_ON_CONDITION,"Utløserverdi PÅ"
COMMENT,"Kommentar"
FUNCTION,"Funksjon"
VALUES,"Verdier"
ADD_NEW_VALUE,"+ Legg til en ny verdi"
ACTIONS,"Hendelser"
ADD_NEW_ACTION,"+ Legg til en ny hendelse"
DURATION_HIGH,"Høy varighet"
RISING_EDGE,"Rising Edge"
DURING,"Mellom"
VALUE1,"Verdi 1"
VALUE_X,"Verdi (X)"
CHECK_INTERVAL,"Sjekk intervall"
ACTIVE_CONDITION,"Aktiveres med"
MIN_DURATION,"Minimum varighet"
MAX_DURATION,"Maksimum varighet"
DURATION_LOW,"Lav varighet"
VALUE2,"Verdi 2"
DELAY_BEFORE_ACTIVE,"Forsinkelse før PÅ"
DURATION,"Varighet"
SOURCE_A,"Kilde (A)"
TRIGGER_OFF_CONDITION,"Utløserverdi AV"
DELAY_BEFORE_INACTIVE,"Forsinkelse før AV"
DELAY_ON_OFF,"Forsinkelse På/Av"
SOURCE,"Kilde"
APPLICATION_ID,"Program-ID"
PHYSICAL_ID,"Fysisk ID"
ACTION,"Handling"
TRAINER_MODE,"Trainer-modus"
CHANNEL_RANGE,"Antall kanaler"
CH,"CH"
LAST_MODIFICATION,"Sist endret"
CLONE,"Dupliser"
MODEL_MATCH,"Modell ID"
MODEL_DATA_LOAD,"Laster inn modell"
FILE_SIZE,"Filstørrelse"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Er du sikker på at du vil slette denne modellen?"
SUCCESS,"Vellykket!"
CLONE_MODEL_SUCCESSFULLY,"Vellykket kloning av modell"
FILENAME_TOO_LONG,"For langt filnavn!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Mottaker er fortsatt PÅ! Er du sikker på at du vil bytte modell?"
CONFIRM_SELECT_ANOTHER_MODEL,"Er du sikker på at du vil velge en annen modell?"
FILE_NAME,"Filnavn"
MODEL_TYPE,"Modelltype"
CONFIRM,"Bekreft"
SET_CURRENT_MODEL,"Velg modell"
UNCATEGORIZED,"Ukategorisert"
CHANGE_FOLDER,"Bytt mappe"
OPERATION,"Operasjon"
OPERATION_FAILED,"Operasjon feilet!"
DELETE_FOLDER,"Slett mappe"
RENAME_FOLDER,"Endre navn på mappe"
CREATE_FOLDER,"Lag ny mappe"
CONFIRM_DELETE_FLIGHT_MODE,"Er du sikker på at du vil slette denne 'FlightModus'en?"
MOVE,"Flytt"
EDIT,"Rediger"
ADD,"Legg til"
TELEMETRY_PORT,"Telemetri-port"
WARNING,"Advarsel"
ERRORS,"Feil"
OPTIONS,"Valg"
CONFIGURE,"Konfigurer"
WAITING_FOR_RECEIVER,"Venter på mottaker..."
PIN,"PIN"
RX_SETTINGS,"Mottakerinnstillinger"
NO_RESPONSE_FROM_RECEIVER,"Ingen respons fra mottaker"
SBUS_OUT,"SBUS Ut"
SBUS_IN,"SBUS Inn"
TELEMETRY_25_MW,"Telemetri 25mW"
HIGH_PWM_SPEED,"Høyhastighets-PWM"
FLIGHT_DATA_RECORDER,"Flight Data Recorder"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Mottaker har ingen 'Flight Data Recorder'-funksjon!"
CONFIRM_DELETE_TIMER,"Er du sikker på at du vil slette denne timeren?"
TIMER,"Timer"
MODE,"Type"
PASTE,"Lim inn"
COPY,"Kopier"
NO_TIMER_HINT,"Timer mangler! Klikk på '+' for å legge til en!"
ANTENNA,"Antenne"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"Styrken er blitt endret. Mottaker må bindes opp på nytt!"
NO_RESPONSE_FROM_MODULE,"Ingen respons fra modulen!"
POWER,"Sendestyrke"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"Venter på modul..."
TX_SETTINGS,"Senderinnstillinger"
CHANNELS,"Kanaler"
FLIGHT_MODE,"FlightMode"
D,"D"
CONFIRM_DELETE_MIX,"Bekreft sletting av mikser"
CONFIRM_DELETE_SSS,"Er du sikker på at du vil slette %s"
NONE,"Ingen"
NO_MIX_HINT,"Ingen mikser! Trykk på '+' for å opprette en"
TYPE,"Type"
SHARE,"Del"
RX,"Mottaker"
RACING_MODE,"Racing Mode"
RANGE_CHECK,"Rekkeviddetest"
EXTERNAL_MODULE,"Eksternmodul"
BIND_OK,"Sammenkobling OK"
BINDING_3DOTS,"Kobler sammen..."
BIND,"Koble sammen"
FAILSAFE,"FailSafe"
INTERNAL_MODULE,"Internmodul"
SET_FAILSAFE,"Sett opp FailSafe"
RESET_BIND,"Tilbakestill sammenkobling"
FACTORY_RESET,"Tilbakestill til fabrikkinnstilling"
OWNER_REGISTRATION_ID,"Eiers Registrerings-ID"
SELECT_DEVICE,"Velg enhet"
REGISTER,"Registrer"
VALID_FRAME_RATE,"Valid Frame Rate"
STATE,"Aktiv"
PROTOCOL,"Protokoll"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Er du sikker på at du vil tilbakestille denne mottakeren?"
SET,"Valg"
EXPO,"Eksponential"
UNIT_POINTS_COUNT," punkter"
WEIGHT,"Vekt"
POINTS,"Punkter"
OFFSET,"Forskyving"
AUTO_OFFSET,"Auto forskjøvet"
OFFSET_WHEN_ACTIVE,"Forskjøvet når linje er aktiv"
OFFSET_WHEN_INACTIVE,"Forskjøvet når linje er inaktiv"
SMOOTH,"Utjevn"
POINT,"Punkt"
POINTS_COUNT,"Antall punkter"
EASY_MODE,"Enkel modus"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Er du sikke på at du vil slette denne logiske bryteren?"
NO_LOGIC_SWITCH_HINT,"Ingen logisk bryter! Trykk på '+' for å opprette en"
START_CONDITION,"Hva trigger 'Start'?"
STOP_CONDITION,"Hva trigger 'Stopp'?"
TIMER_EDIT,"Rediger timer"
PERSISTENT,"Permanent"
START_VALUE,"Startverdi"
AUDIO_ACTIONS,"Audio valg"
AUDIO_ACTION,"Audio valg"
ADD_A_NEW_AUDIO_ACTION,"Legg til et nytt 'Audio valg'"
ALARM_VALUE,"Alarmverdi"
HAPTIC,"Vibrering"
COUNTDOWN,"Nedtelling"
BEEP_COUNTDOWN,"Nedtellings-beep"
START,"Start"
PLAY_FILE,"Spill av fil"
SPACE_WITH_OTHERS," med andre..."
CONFIRM_DELETE_CURVE,"Er du sikker på at du vil slette denne kurven?"
CURVE_USED_BY,"Kurven brukes av mikser: "
AND_WITH_TWO_SPACES," og "
NO_CURVE_HINT,"Ingen kurver. Trykk på '+' for å opprette en!"
CONFIRM_RESET_MIXES,"Ønsker du å tilbakestille mikserne?"
ELEVATORS,"Høyderor"
YAW,"Yaw"
SWASH_PLATE,"Swashplate"
PICTURE,"Bilde"
TAIL,"Hale"
AILERONS,"Balanseror"
PITCH,"Pitch"
