TRANSLATION_NAME,"Português Brasileiro"
TRANSLATION_KEY,"pb"
FORMULA,"Fórmula"
CALCULATED_SENSOR,"Sensor customizado"
NAME,"Nome"
DECIMALS,"Decimais"
VALUE,"Valor"
SENSOR_LOST_WARNING_DELAY,"Sinal do sensor perdido"
WARNING_DISABLED,"Aviso desabilitado"
RANGE,"Alcance"
SPACE_WITH_SAMPLES," amostras"
RESET,"Reiniciar"
TELEMETRY_SENSOR,"Sensor de telemetria"
UNIT,"Unidade"
WRITE_LOGS,"Logs de registo"
ID,"ID"
CENTER,"Centro"
SUBTRIM,"Subtrim"
PWM_CENTER,"Centro do PWM"
NORMAL,"Normal"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Tempo de subida"
MIN,"Min"
CURVE,"Curva"
MAX,"Max"
CHANNEL,"Canal"
INVERT,"Inverter"
SLOW_DOWN,"Tempo de descida"
INVERTED,"Invertido"
FLIGHT_MODES,"Modos de voo"
MIX_FLIGHT_MODES_DESCRIPTION,""
MIX_NAME_DESCRIPTION,""
TRIGGER_ON_CONDITION,"Disparo para ON"
COMMENT,"Comentários"
FUNCTION,"Função"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"Duração ativada"
RISING_EDGE,"Bordo ascendente"
DURING,"Durante"
VALUE1,"Valor 1"
VALUE_X,"Valor (X)"
CHECK_INTERVAL,"Freq. verificação"
ACTIVE_CONDITION,"Ativação"
MIN_DURATION,"Duração mínima"
MAX_DURATION,"Max duration"
DURATION_LOW,"Duração desativada"
VALUE2,"Valor 2"
DELAY_BEFORE_ACTIVE,"Atraso antes de ativar"
DURATION,"Duração"
SOURCE_A,"Fonte (A)"
TRIGGER_OFF_CONDITION,"Condição para  OFF"
DELAY_BEFORE_INACTIVE,"Atraso antes de desativar"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"Fonte"
APPLICATION_ID,"ID da Aplicação"
PHYSICAL_ID,"ID Fisíco"
ACTION,"Ação"
TRAINER,"Treinador"
TRAINER_MODE,"Modo treinador"
CHANNEL_RANGE,"Intervalo de Canais"
CH,"CH"
OUTPUTS,"Saídas"
LAST_MODIFICATION,"Última modificação"
CLONE,"Duplicar"
MODEL_MATCH,"ID do Modelo"
MODEL_DATA_LOAD,"Carregando o modelo"
FILE_SIZE,"Tamanho do arquivo"
MODEL_SELECT,"Sel. modelo"
NO_MODELS_DIRECTORY,"No models directory!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Deseja eliminar este modelo ?"
SUCCESS,"Sucesso!"
CLONE_MODEL_SUCCESSFULLY,"Modelo replicado com sucesso!"
FILENAME_TOO_LONG,"Nome do arquivo muito longo!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"O receptor ainda está conectado, tem certeza que deseja alterar?"
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?"
FILE_NAME,"Nome do arquivo"
MODEL_TYPE,"Tipo do modelo"
CONFIRM,"Confirmar"
SET_CURRENT_MODEL,"Selecionar modelo"
UNCATEGORIZED,"Não categorizado"
CHANGE_FOLDER,"Mover de pasta"
OPERATION,"Operation"
OPERATION_FAILED,"A operação falhou!"
DELETE_FOLDER,"Apagar pasta"
RENAME_FOLDER,"Renomear pasta"
CREATE_FOLDER,"Criar pasta"
CONFIRM_DELETE_FLIGHT_MODE,"Deseja eliminar este modo de voo ?"
MOVE,"Mover"
EDIT,"Editar"
ADD,"Adicionar"
TELEMETRY_PORT,"Porta Telem."
WARNING,"Aviso"
ERRORS,"Errors"
OPTIONS,"Opções"
CONFIGURE,"Configure"
WAITING_FOR_RECEIVER,"À espera do receptor..."
PIN,"Pin"
TELEMETRY,"Telemetria"
RX_SETTINGS,"Parâmetros RX"
NO_RESPONSE_FROM_RECEIVER,"Sem resposta do receptor"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetria 25mW"
HIGH_PWM_SPEED,"PWM alta velocidade"
FLIGHT_DATA_RECORDER,"Flight Data Record"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Receiver has no flight data recorder."
DEVICE_CONFIG,"Config. sensor"
CONFIRM_DELETE_TIMER,"Deseja eliminar o Timer ?"
TIMER,"Timer"
MODE,"Modo"
PASTE,"Colar"
TIMERS,"Timers"
COPY,"Copiar"
NO_TIMER_HINT,"Sem Timer. Pressione '+' para criar um"
ANTENNA,"Antena"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"A tensão foi alterada, por favor, bindar novamente!"
NO_RESPONSE_FROM_MODULE,"Sem resposta do módulo!"
POWER,"Potência"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"À espera do módulo..."
TX_SETTINGS,"Parametros TX"
MIXES,"Mixes"
CHANNELS,"Canais"
FLIGHT_MODE,"Modo de voo"
D,"D"
CONFIRM_DELETE_MIX,"Deseja eliminar o mixer?"
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s?"
NONE,"Nenhum"
NO_MIX_HINT,"Sem mixers. Pressione '+' para criar um !"
TYPE,"Tipo"
SHARE,"Compartilhar"
RX,"RX"
RACING_MODE,"Modo corrida"
RANGE_CHECK,"Testar alcance","Alcance"
EXTERNAL_MODULE,"Módulo externo"
BIND_OK,"Bind OK"
BINDING_3DOTS,"Bindando..."
BIND,"Bindar"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Módulo interno"
SET_FAILSAFE,"Definir failsafe"
RESET_BIND,"Reiniciar bind"
FACTORY_RESET,"Factory reset"
RF_SYSTEM,"Sistema RF"
OWNER_REGISTRATION_ID,"Registo ID do proprietário"
SELECT_DEVICE,"Selectionar dispositivo"
REGISTER,"Registrar"
VALID_FRAME_RATE,"VFR"
STATE,"Estado"
PROTOCOL,"Protocolo"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Deseja reiniciar o receptor ?"
SET,"Definir"
EXPO,"Expo"
UNIT_POINTS_COUNT,"Pontos"
WEIGHT,"Peso"
POINTS,"Pontos"
OFFSET,"Desloc."
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset when active"
OFFSET_WHEN_INACTIVE,"Offset when inactive"
SMOOTH,"Suavizar"
POINT,"Ponto"
POINTS_COUNT,"Num. de pontos"
EASY_MODE,"Modo simples"
LOGIC_SWITCHES,"Chaves lógicas","Chaves lóg."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Deseja eliminar a chave lógica ?"
NO_LOGIC_SWITCH_HINT,"Sem chaves lógicas. Pressione '+' para criar uma !"
START_CONDITION,"Start condition"
STOP_CONDITION,"Stop condition"
TIMER_EDIT,"Editar timer"
PERSISTENT,"Permanente"
