TRANSLATION_NAME,"Polish"
TRANSLATION_KEY,"pl"
FORMULA,"Formuła"
CALCULATED_SENSOR,"Czujnik syntetyczny"
NAME,"Nazwa"
DECIMALS,"Dokładność po przecinku"
VALUE,"Wartość"
SENSOR_LOST_WARNING_DELAY,"Ostrzeżenie o utracie czujnika"
WARNING_DISABLED,"Warning Disabled"
RANGE,"Zakres"
SPACE_WITH_SAMPLES," próbek"
RESET,"Reset"
TELEMETRY_SENSOR,"Czujnik telemetryczny"
UNIT,"Jednostka"
WRITE_LOGS,"Zapisuj logi"
ID,"ID"
CENTER,"Środek"
SUBTRIM,"Subtrym"
PWM_CENTER,"PWM Center"
NORMAL,"Zwykły"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Spowolnienie (+)"
MIN,"Min"
CURVE,"Krzywa"
MAX,"Max"
CHANNEL,"Kanał"
INVERT,"Odwrócenie"
SLOW_DOWN,"Spowolnienie (-)"
INVERTED,"Odwrócony"
FLIGHT_MODES,"Fazy Lotu"
MIX_FLIGHT_MODES_DESCRIPTION,"Wybierz fazy lotu, w których aktywna będzie ta linia miksera"
MIX_NAME_DESCRIPTION,"Podaj nazwę linii miksera"
TRIGGER_ON_CONDITION,"Wyzwolenie WŁĄCZENIA"
COMMENT,"Komentarz"
FUNCTION,"Funkcja"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"Czas trwania impulsu"
RISING_EDGE,"Zbocze narastające"
DURING,"Przez"
VALUE1,"Wartość 1"
VALUE_X,"Wartość (X)"
CHECK_INTERVAL,"Sprawdzany interwał"
ACTIVE_CONDITION,"Warunek aktywowania"
MIN_DURATION,"Min czas trwania"
MAX_DURATION,"Max duration"
DURATION_LOW,"Czas trwania przerwy"
VALUE2,"Wartość 2"
DELAY_BEFORE_ACTIVE,"Opóźnienie przed aktywowaniem"
DURATION,"Czas trwania"
SOURCE_A,"Źródło (A)"
TRIGGER_OFF_CONDITION,"Wyzwolenie WYŁĄCZENIA"
DELAY_BEFORE_INACTIVE,"Opóźnienie przed dezaktywowaniem"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"Źródło"
APPLICATION_ID,"ID aplikacji"
PHYSICAL_ID,"ID fizyczne"
ACTION,"Akcja"
TRAINER,"Trener"
TRAINER_MODE,"Tryb trenera"
CHANNEL_RANGE,"Zakres kanałów"
CH,"KN"
OUTPUTS,"Wyjścia"
LAST_MODIFICATION,"Ostatnio modyfikowany"
CLONE,"Sklonuj"
MODEL_MATCH,"ID modelu"
MODEL_DATA_LOAD,"Model data load"
FILE_SIZE,"Rozmiar pliku"
MODEL_SELECT,"Modele"
NO_MODELS_DIRECTORY,"No models directory!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Na pewno usunąć model?"
SUCCESS,"Sukces!"
CLONE_MODEL_SUCCESSFULLY,"Model został pomyślnie sklonowany"
FILENAME_TOO_LONG,"Zbyt długa nazwa pliku"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Odbiornik aktywny. Na pewno przełączyć na nowy model?"
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?"
FILE_NAME,"Nazwa pliku"
MODEL_TYPE,"Rodzaj modelu"
CONFIRM,"Zatwierdź"
SET_CURRENT_MODEL,"Ustaw jako aktywny"
UNCATEGORIZED,"Uncategorized"
CHANGE_FOLDER,"Change Folder"
OPERATION,"Operation"
OPERATION_FAILED,"Operation failed!"
DELETE_FOLDER,"Delete Folder"
RENAME_FOLDER,"Rename Folder"
CREATE_FOLDER,"Create Folder"
CONFIRM_DELETE_FLIGHT_MODE,"Na pewno usunąć tę fazę lotu?"
MOVE,"Przenieś"
EDIT,"Edytuj"
ADD,"Dodaj"
TELEMETRY_PORT,"Port telem."
WARNING,"Ostrzeżenie"
ERRORS,"Errors"
OPTIONS,"Opcje"
CONFIGURE,"Configure"
WAITING_FOR_RECEIVER,"Czekam na odpowiedź odbiornika..."
PIN,"Pin"
TELEMETRY,"Telemetria"
