TRANSLATION_NAME,"Português"
TRANSLATION_KEY,"pt"
FORMULA,"Formula"
CALCULATED_SENSOR,"Sensor customizado"
NAME,"Nome"
DECIMALS,"Décimais"
VALUE,"Valor"
SENSOR_LOST_WARNING_DELAY,"Alerta sensores perdidos"
WARNING_DISABLED,"Warning Disabled"
RANGE,"Alcance"
SPACE_WITH_SAMPLES," samples"
RESET,"Reiniciar"
TELEMETRY_SENSOR,"Sensor de telemetria"
UNIT,"Unidade"
WRITE_LOGS,"Escritura de registo"
ID,"ID"
CENTER,"Centro"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM Center"
NORMAL,"Normal"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Acelerar"
MIN,"Min"
CURVE,"Curva"
MAX,"Max"
CHANNEL,"Canal"
INVERT,"Inverter"
SLOW_DOWN,"Desacelarar"
INVERTED,"Invertido"
FLIGHT_MODES,"Modos de voo"
MIX_FLIGHT_MODES_DESCRIPTION,""
MIX_NAME_DESCRIPTION,""
TRIGGER_ON_CONDITION,"Condição para ON"
COMMENT,"Commentário"
FUNCTION,"Função"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"Duração ativada"
RISING_EDGE,"Bordo ascendente"
DURING,"Durante"
VALUE1,"Valor 1"
VALUE_X,"Valor (X)"
CHECK_INTERVAL,"Freq. verificação"
ACTIVE_CONDITION,"Condição"
MIN_DURATION,"Duração mínima"
MAX_DURATION,"Max duration"
DURATION_LOW,"Duração desativada"
VALUE2,"Valor 2"
DELAY_BEFORE_ACTIVE,"Atraso antes ON"
DURATION,"Duração"
SOURCE_A,"Fonte (A)"
TRIGGER_OFF_CONDITION,"Condição para  OFF"
DELAY_BEFORE_INACTIVE,"Atraso antes OFF"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"Fonte"
APPLICATION_ID,"ID Aplicação"
PHYSICAL_ID,"ID Fisíco"
ACTION,"Acção"
TRAINER,"Trainer"
TRAINER_MODE,"Modo trainer"
CHANNEL_RANGE,"Canais"
CH,"CH"
OUTPUTS,"Saídas"
LAST_MODIFICATION,"Última modificação"
CLONE,"Duplicar"
MODEL_MATCH,"ID Modelo"
MODEL_DATA_LOAD,"A carregar o modelo"
FILE_SIZE,"Tamanho do ficheiro"
MODEL_SELECT,"Sel. modelo"
NO_MODELS_DIRECTORY,"No models directory!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Deseja eliminar este modelo ?"
SUCCESS,"Sucesso!"
CLONE_MODEL_SUCCESSFULLY,"Modelo replicado com sucesso!"
FILENAME_TOO_LONG,"Filename too long!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Receiver is still ON, are you sure to switch to this model?"
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?"
FILE_NAME,"Nome"
MODEL_TYPE,"Tipo de modelo"
CONFIRM,"Confirmar"
SET_CURRENT_MODEL,"Selecionar modelo"
UNCATEGORIZED,"Uncategorized"
CHANGE_FOLDER,"Change Folder"
OPERATION,"Operation"
