String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
TRANSLATION_NAME,,"Deutsch"
TRANSLATION_KEY,,"de"
FORMULA,,"Formel"
CALCULATED_SENSOR,,"Berechneter Sensor"
NAME,,"Name"
DECIMALS,,"Kommastellen"
VALUE,,"Wert"
SENSOR_LOST_WARNING_DELAY,,"Sensor verloren, Ansage verz.:"
WARNING_DISABLED,,"Warnung deaktiviert"
RANGE,,"Bereich"
SPACE_WITH_SAMPLES,," Messungen"
RESET,,"zurücksetzen","zurücks."
TELEMETRY_SENSOR,,"Telemetrie-Sensor"
UNIT,,"Physikalische Einheit"
WRITE_LOGS,,"Logs schreiben"
ID,,"ID"
CENTER,,"Mittelstellung"
SUBTRIM,,"Sub-Trimmung"
PWM_CENTER,,"PWM-Mitte"
NORMAL,,"normal"
EQUAL,,"gleich"
UNPLUGGED,,"nicht ausgewählt"
BEHAVIOUR,,"Aktion"
ADD_NEW_BEHAVIOUR,,"Neue Aktion hinzufügen","Neue Aktion hinz."
ADD_EXTRA_TRIM,,"Extra-Trimmung hinzufügen","Extra-Trimmung hinz."
EXTRA_TRIM,,"Extra-Trimmung"
SLOW_UP,,"Servo-Geschw. (< Richt.)"
MIN,,"min."
CURVE,,"Kurve "
MAX,,"max."
CHANNEL,,"Kanal"
INVERT,,"invers"
SLOW_DOWN,,"Servo-Geschw. (Richt. >)"
INVERTED,,"invert."
FLIGHT_MODES,,"Flugphasen"
MIX_FLIGHT_MODES_DESCRIPTION,,"Flugphasen-Auswahl"
MIX_NAME_DESCRIPTION,,"Mixer-Namen bearbeiten"
TRIGGER_ON_CONDITION,,"Trigger-EIN-Bedingung"
COMMENT,,"Kommentar"
FUNCTION,,"Funktion"
VALUES,,"Wert"
ADD_NEW_VALUE,,"Neuen Wert hinzufügen","Neuen Wert hinz."
ACTIONS,,"Aktionen"
ADD_NEW_ACTION,,"Neue Aktion hinzufügen","Neue Aktion hinz."
DURATION_HIGH,,"Laufzeit aktiv"
RISING_EDGE,,"Flanke steig."
DURING,,"während"
VALUE1,,"Wert 1"
VALUE_X,,"Wert (X)"
CHECK_INTERVAL,,"Intervall prüfen"
ACTIVE_CONDITION,,"Aktiviert durch","Aktiviert"
MIN_DURATION,,"Min. Laufzeit"
MAX_DURATION,,"Max. Laufzeit"
DURATION_LOW,,"Laufzeit inaktiv"
VALUE2,,"Wert 2"
DELAY_BEFORE_ACTIVE,,"Verzögerung bevor aktiv"
DURATION,,"Dauer"
SOURCE_A,,"Quelle (A)"
TRIGGER_OFF_CONDITION,,"Trigger-AUS-Bedingung"
DELAY_BEFORE_INACTIVE,,"Verzögerung bevor inaktiv"
DELAY_ON_OFF,,"Verz. EIN/AUS"							 
SOURCE,,"Quelle"
APPLICATION_ID,,"Anwendungs-ID"
PHYSICAL_ID,,"Physikalische ID"
ACTION,,"Aktion"
TRAINER,,"L/S-Konfiguration ","L/S-Konfig. "
TRAINER_MODE,,"Lehrer/Schüler-Modus"
CHANNEL_RANGE,,"Kanalbereich"
CH,,"K"
OUTPUTS,,"Ausgänge"
LAST_MODIFICATION,,"Letzte Änderung","Letzte Änd."
CLONE,,"klonen"
MODEL_MATCH,,"Modell-ID"
MODEL_DATA_LOAD,,"Modelldaten werden geladen","Modelldaten laden"
FILE_SIZE,,"Dat.-Größe"
MODEL_SELECT,,"Modelle"
NO_MODELS_DIRECTORY,,"Kein Modellverzeichnis!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,,"Sicher, dass Sie dieses Modell löschen möchten?"
SUCCESS,,"Erfolgreich!"
CLONE_MODEL_SUCCESSFULLY,,"Das Modell wurde erfolgreich geklont!"
