Clef, Contexte, X20(...) / XE(S) / V20, X14(...) / T14 / V15, Autres radios,
TRANSLATION_KEY,,"fr",
TRANSLATION_NAME,,"Français",
TRANSLATION_FALLBACK_NAME,,"Francais"
TRANSLATION_FONT_SUBSET,,"latin"
SPECIAL_CHARS,,"äöüûùàçéèê_-+*/<=>.",
MODEL,,"Modèle",
STEERING,,"Direction"
DUTY_RATIO,,"Ratio cycle"
CYCLE_DURATION,,"Durée cycle"
RETURN_POSITION,,"Position retour"
STEERING_BRAKE,,"Frein de direction"
MODEL_SELECT,,"Choix modèle",
NO_MODELS_DIRECTORY,,"Répertoire modèles absent !",
EDIT_MODEL,,"Editer modèle",
FLIGHT_MODES,,"Phases de vol",
DRIVE_MODES,,"Modes conduite"
MIXES,,"Mixages",
OUTPUTS,,"Voies",
TIMERS,,"Chronos",
TRIMS,,"Trims",
RF_SYSTEM,,"Système RF",
LINKS,,"Liaisons"
TELEMETRY,,"Télémétrie",
CHECKLIST,,"Checklist",
LOGIC_SWITCHES,,"Inters logiques",
SPECIAL_FUNCTIONS,,"Fonctions",
NEW_FUNCTION,,"Nouvelle fonction"
CURVES,,"Courbes",
VARS,,"Vars",
NO_VAR_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucune Var. Appuyer sur le bouton '+' pour en créer une !",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,,"Supprimer Var ?",
TRAINER,,"Ecolage",
DEVICE_CONFIG,,"Config. périph.",
LAST_MODIFICATION,,"Dernière modification","Date mod."
DESCENDING,,"Ordre décroissant"
SORT_BY,,"Triés par ..."
ASCENDING,,"Ordre Croissant"
CLONE,,"Dupliquer",
MODEL_MATCH,,"ID Modèle",
MODEL_DATA_LOAD,,"Chargement modèle",
FILE_SIZE,,"Taille fichier","Taille"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,,"Supprimer modèle ?",
SUCCESS,,"Succès !",
CLONE_MODEL_SUCCESSFULLY,,"Copie modèle réussie !",
FILENAME_TOO_LONG,,"Nom fichier trop long !",
RX_STILL_ON_SELECT_ANOTHER_MODEL,,"RX toujours ON. Changer modèle ?",
CONFIRM_SELECT_ANOTHER_MODEL,,"Sélectionner autre modèle ?",
FILE_NAME,,"Nom",
CONFIRM,,"Confirmation",
SET_CURRENT_MODEL,,"Sélectionner",
UNCATEGORIZED,,"Non trié",
CHANGE_FOLDER,,"Déplacer",
OPERATION,,"Opération",
OPERATION_FAILED,,"Echec opération !",
DELETE_FOLDER,,"Supprimer dossier",
RENAME,,"Renommer",
CREATE_FOLDER,,"Créer nouveau dossier",
MODEL_TYPE,,"Type de modèle","Type",
PLANE,,"Avion",
GLIDER,,"Planeur",
HELI,,"Hélicoptère","Hélico",
MULTI,,"Multi",
CAR,,"Voiture",
BOAT,,"Bateau",
OTHER,,"Autre",
CONFIRM_RESET_MIXES,,"Réinitialiser mixages ?","Réinit. mixages ?",
ELEVATORS,,"Profondeur",
YAW,,"Lacet",
SWASH_PLATE,,"Plateau",
PICTURE,,"Image",
TAIL,,"Empennage",
TAIL_TYPE,,"Type d'empennage",
TRADITIONAL,,"Traditionnel",
VTAIL,,"Empennage en V",
AILERONS,,"Ailerons",
NO_AILERONS,,"Pas d'aileron",
PITCH,,"Profondeur",
NO_ELEVATORS,,"Pas de profondeur",
THROTTLE,,"Gaz",
FLAPS,,"Volets",
NO_FLAPS,,"Pas de volet",
ENGINE,,"Moteur",
NO_ENGINE,,"Pas de moteur",
BRAKE,,"Frein"
RUDDERS,,"Dérive",
NO_RUDDERS,,"Pas de dérive",
ROLL,,"Roulis",
FUNCTION_SWITCHES,,"Inters fonction",
RESET_ALL_MIXES,,"Supprimer mixages",
Xx2POS,,"{HARDWARE_FUNCTION_SWITCHES} x 2-Pos",
XPOS_WITH_OFF,,"{HARDWARE_FUNCTION_SWITCHES}-Pos avec OFF",
XPOS,,"{HARDWARE_FUNCTION_SWITCHES}-Pos",
2xXPOS,,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos",
CONFIRM_DELETE_FLIGHT_MODE,,"Supprimer phase de vol ?",
MOVE,,"Déplacer",
EDIT,,"Editer",
ADD,,"Ajouter",
FLIGHT_MODE,,"Phase vol",
DRIVE_MODE,,"Mode conduite",
FADE_IN,,"Activation",
FADE_OUT,,"Désactivation",
DEFAULT_FLIGHT_MODE,,"Phase vol par défaut",
DEFAULT_DRIVE_MODE,,"Mode conduite par défaut",
CHANNELS,,"Voies",
D,,"D",
CONFIRM_DELETE_MIX,,"Supprimer mixage ?",
CONFIRM_DELETE_SSS,,"Supprimer %s ?",
NONE,,"Aucun",
NO_MIX_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucun mixage. Appuyer sur le bouton '+' pour en créer un !",
MIX_NAME_DESCRIPTION,,,
ADD_AFTER,,"Ajouter après",
ADD_MIX_FAILED,,"Erreur ajout mixage !",
MAX_MIXES_REACHED,,"Nombre maximum mixages atteint !",
FIRST_POSITION,,"Première position",
LAST_POSITION,,"Dernière position",
MIXES_LIBRARY,,"Bibliothèque",
AIL_TO_RUD,,"Ail → Dir",
ELE_TO_CAMBER,,"SnapFlap",
RUD_TO_AIL,,"Dir → Ail",
RUD_TO_ELE,,"Dir → Prf",
AIL_TO_FLAPS,,"QuadroFlap",
FLAPS_TO_ELE,,"Volets → Prf",
FREE_MIX,,"Mixage libre",
SNAP_ROLL,,"Snap Roll",
TEST_MIX,,"Test Mix",
ELE_TO_AIL,,"Prf → Ail",
BUTTERFLY,,"Papillon",
CAMBER,,"Courbure",
PITCH_TO_RUD,,"Pas → Dir",
THR_TO_ELE,,"Gaz → Prf",
THR_TO_RUD,,"Gaz → Dir",
FLAP,,"Volets",
AIRBRAKE,,"Aérofrein",
CENTER,,"Centre",
LOCKING_ARM_STRENGTH_P1,,"Force blocage (P1)"
LOCKING_ARM_STRENGTH_P2,,"Force blocage (P2)"
FRICTION_D1,,"Friction (D1)"
FILTER_TD,,"Filtre (TD / D2)"
SUBTRIM,,"Subtrim",
PWM_CENTER,,"Centre PWM",
NORMAL,,"Normal",
EQUAL,,"Egale",
UNPLUGGED,,"Déconnecté",
BEHAVIOUR,,"Comportement",
ADD_A_NEW_BEHAVIOUR,,"Ajouter comportement",
ADD_EXTRA_TRIM,,"Ajouter trim supplémentaire","Ajouter trim suppl.",
EXTRA_TRIM,,"Trim supplémentaire","Trim suppl.",
SLOW_UP,,"Ralenti activation",
SLOW_DOWN,,"Ralenti désactivation",
MIN,,"Mini",
MAX,,"Maxi",
CURVE,,"Courbe",
CHANNEL,,"Voie",
INVERT,,"Inverser",
INVERTED,,"Inversé",
CONFIRM_DELETE_TIMER,,"Supprimer chrono ?",
TIMER,,"Chrono",
MODE,,"Mode",
PASTE,,"Coller",
COPY,,"Copier",
NO_TIMER_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucun chrono. Appuyer sur le bouton '+' pour en créer un !",
START_CONDITION,,"Condition départ",
STOP_CONDITION,,"Condition arrêt",
TIMER_EDIT,,"Chrono",
PERSISTENT,,"Permanent",
START_VALUE,,"Valeur de départ",
AUDIO_ACTIONS,,"Actions audio",
AUDIO_ACTION,,"Action audio",
ADD_A_NEW_AUDIO_ACTION,,"Ajouter action audio",
ALARM_VALUE,,"Valeur d'alarme",
HAPTIC,,"Vibreur",
COUNT_SECONDS,,"Décompte secondes",
START,,"Départ",
PLAY_FILE,,"Lire fichier",
CROSS_TRIM,,"Trims croisés",
MOVE_TRIM_TO_SUBTRIM,,"Trim vers subtrim",
INSTANT_TRIM,,"Trim instant.",
MOVE_TRIMS_TO_SUBTRIMS,,"Trims vers subtrims",
INDEPENDENT_PER_FLIGHT_MODE,,"Trim par phase de vol",
STICK,,"Manche",
TRIM_STEP_FINE,,"Fin",
TRIM_STEP_COARSE,,"Grossier",
TRIM_STEP_EXPONENTIAL,,"Exponentiel",
TRIM_STEP_EXTRA_FINE,,"Extra fin",
TRIM_STEP_MEDIUM,,"Moyen",
TRIM_STEP_CUSTOM,,"Perso",
TYPE,,"Type",
SHARE,,"Partager",
RX,,"RX",
RACING_MODE,,"Mode course",
RANGE_CHECK,,"Test portée",
EXTERNAL_MODULE,,"Module externe",
BIND_OK,,"Appairage OK",
BINDING_3DOTS,,"Appairage ...",
BIND,,"Appairer",
FAILSAFE,,"Failsafe",
INTERNAL_MODULE,,"Module interne",
SET_FAILSAFE,,"Définir failsafe",
OWNER_REGISTRATION_ID,,"Enreg. ID propriétaire",
SELECT_DEVICE,,"Choix périphérique",
REGISTER,,"Enregistrer",
VALID_FRAME_RATE,,"VFR",
STATE,,"Etat",
PROTOCOL,,"Protocole",
