String name, String context, X20(...) / XE(S) / V20(PRO), X18RS / X14(...) / T14 / V15, All other radios
TRANSLATION_KEY,,he,,
TRANSLATION_NAME,,תירבע,,
TRANSLATION_FALLBACK_NAME,,Hebrew,,
TRANSLATION_FONT_SUBSET,,hebrew,,
SPECIAL_CHARS,,_-+.,,
TRANSLATION_DIRECTION,,R2L,,
FORMULA,,אחסונ,,
CALCULATED_SENSOR,,בשוחמ ןשייח,,
NAME,,םש,,
DECIMALS,,ילמיצד,,
VALUE,,ךרע,,
SENSOR_LOST_WARNING_DELAY,,ןשייח קותינ תארתה,,
WARNING_DISABLED,,היובכ הרהזא,,
RANGE,,חווט,,
SPACE_WITH_SAMPLES,, תואמגוד,,
RESET,,סופיא,,
TELEMETRY_SENSOR,,הירטמלט ןשייח,,
UNIT,,הדיחי,,
WRITE_LOGS,,םיגול רומש,,
ID,,ההזמ,,
CENTER,,זכרמ,,
LOCKING_ARM_STRENGTH_P1,,הליענ עורז חוכ P1,,
LOCKING_ARM_STRENGTH_P2,,הליענ עורז חוכ P2,,
FRICTION_D1,,ךוכיח D1,,
FILTER_TD,,רטליפ TD/D2,,
SUBTRIM,,םירט באס,,
PWM_CENTER,,PWM זכרמ,,
NORMAL,,ליגר,,
EQUAL,,הווש,,
UNPLUGGED,,קתונמ,,
BEHAVIOUR,,תוגהנתה,,
ADD_A_NEW_BEHAVIOUR,,השדח תוגהנתה ףסוה,,
ADD_EXTRA_TRIM,,ףסונ זוזיק ףסוה,,
EXTRA_TRIM,,ףסונ זוזיק,,
SLOW_UP,,הלעמל טאה,,
MIN,,םומינימ,,
CURVE,,המוקע,,
MAX,,םומיסקמ,,
CHANNEL,, ץורע,,
INVERT,,ךופיה,,
SLOW_DOWN,,הטמל טאה,,
INVERTED,,ךופה,,
FLIGHT_MODES,,הסיט יבצמ,,
DRIVE_MODES,,הענה ידומ,,
MIX_NAME_DESCRIPTION,,רסקימ םש ךורע,,
TRIGGER_ON_CONDITION,,הלעפה בצמ לעפה,,
COMMENT,,הרעה,,
FUNCTION,,היצקנופ,,
VALUES,,םיכרע,,
ADD_A_NEW_VALUE,,שדח ךרע ףסוה,,
ACTIONS,,תולועפ,,
ADD_A_NEW_ACTION,,השדח הלועפ ףסוה,,
ADD_A_NEW_LOGIC_SWITCH,,יגול קספמ ףסוה,,
DURATION_HIGH,,ליעפ ןמז ךשמ,,
