String name, String context, X20(...) / XE(S) / V20(PRO), X18RS / X14(...) / T14 / V15, All other radios,
TRANSLATION_KEY,,ru,,,
TRANSLATION_NAME,,Русский,,,
TRANSLATION_FALLBACK_NAME,,Russian,,,
TRANSLATION_FONT_SUBSET,,cyrillic,,,
SPECIAL_CHARS,,_-+.,,,
FORMULA,,Формула,,,
CALCULATED_SENSOR,,Вачисляемый датчик,,,
NAME,,Имя,,,
DECIMALS,,Десятичные,,,
VALUE,,Величина,,,
SENSOR_LOST_WARNING_DELAY,,Задержка сигнала при потере данных,,,
WARNING_DISABLED,,Сигнал предупреждения отключен,,,
RANGE,,Диапазон,,,
SPACE_WITH_SAMPLES,,Примеры,,,
RESET,,Сброс,,,
TELEMETRY_SENSOR,,Датчик телеметрии,,,
UNIT,,Единица,,,
WRITE_LOGS,,Записывать отчет,,,
ID,,ID,,,
CENTER,,Центр,,,
LOCKING_ARM_STRENGTH_P1,,Сила удержания (P1),,,
LOCKING_ARM_STRENGTH_P2,,Сила удержания (P2),,,
FRICTION_D1,,Трение (D1),,,
FILTER_TD,,Фильтр (TD / D2),,,
SUBTRIM,,Субтрим,,,
PWM_CENTER,,PWM центровка,,,
NORMAL,,Нормальный,,,
EQUAL,,Равный,,,
TEST,,TEST,,,
UNPLUGGED,,Отключено,,,
BEHAVIOUR,,Поведение,,,
ADD_A_NEW_BEHAVIOUR,,Добавить новое поведение,,,
ADD_EXTRA_TRIM,,Добавить внешний триммер,,,
EXTRA_TRIM,,Внешний триммер,,,
SLOW_UP,,Притормозить,,,
MIN,,Мин,,,
CURVE,,Кривая,,,
MAX,,Макс,,,
CHANNEL,,Канал,,,
INVERT,,Обратный,,,
SLOW_DOWN,,Замедлить,,,
INVERTED,,Инвертированный,,,
FLIGHT_MODES,,Полетные режимы,,,
DRIVE_MODES,,Режимы вождения,,,
MIX_NAME_DESCRIPTION,,Наименование микшера,,,
TRIGGER_ON_CONDITION,,Условие срабатывания,,,
COMMENT,,Коментарий,,,
FUNCTION,,Функция,,,
VALUES,,Величины,,,
ADD_A_NEW_VALUE,,+Добавить новую величину,,,
ACTIONS,,Действие,,,
ADD_A_NEW_ACTION,,+Добавить новое действие,,,
ADD_A_NEW_LOGIC_SWITCH,,+Добавить новый логический выключатель,,,
DURATION_HIGH,,Время активности,,,
RISING_EDGE,,Передний фронт,,,
DURING,,В течении,,,
VALUE1,,Значение 1,,,
VALUE_X,,Значение (Х),,,
CHECK_INTERVAL,,Проверка интервала,,,
ACTIVE_CONDITION,,Активное состояние,,,
MIN_DURATION,,Мин период,,,
MAX_DURATION,,Макс период,,,
DURATION_LOW,,Время бездействия,,,
VALUE2,,Значение 2,,,
DELAY_BEFORE_ACTIVE,,Задержка перед выполнением,,,
DURATION,,Действие,,,
SOURCE_A,,Источник (А),,,
TRIGGER_OFF_CONDITION,,Условие отключения,,,
DELAY_BEFORE_INACTIVE,,Задержка перед бездействием,,,
DELAY_ON_OFF,,Задержка ВКЛ/ВЫКЛ,,,
SOURCE,,Источник,,,
APPLICATION_ID,,ID приложения,,,
PHYSICAL_ID,,ID Физический,,,
ACTION,,Действие,,,
TRAINER,,Тренер,,,
TRAINER_MODE,,Режим тренера,,,
CHANNEL_RANGE,,Диапазон каналов,,,
CH,,Канал,,,
OUTPUTS,,Выходы,,,
LAST_MODIFICATION,,Последняя модификация,,,
DESCENDING,,Нисходящий,,,
SORT_BY,,Сортировка по…,,,
ASCENDING,,Восходящий,,,
CLONE,,Клонировать,,,
MODEL_MATCH,,ID модели,,,
MODEL_DATA_LOAD,,Загрузка данных модели,,,
FILE_SIZE,,Размер файла,,,
MODEL_SELECT,,Выбор модели,,,
NO_MODELS_DIRECTORY,,Отсутствует директория моделей!,,,
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,,"Вы уверены, что хотите удалить модель?",,,
SUCCESS,,Выполнено!,,,
CLONE_MODEL_SUCCESSFULLY,,Модель клонирована успешно!,,,
FILENAME_TOO_LONG,,Имя файла очень длинное!,,,
RX_STILL_ON_SELECT_ANOTHER_MODEL,,"Приёмник ещё включён, вы уверены что хотите сменить модель?",,,
CONFIRM_SELECT_ANOTHER_MODEL,,"Вы уверены, что хотите сменить модель?",,,
FILE_NAME,,Имя файла,,,
MODEL_TYPE,,Тип модели,,,
CONFIRM,,Подтвердить,,,
SET_CURRENT_MODEL,,Выбрать текущую модель,,,
UNCATEGORIZED,,Без категории,,,
CHANGE_FOLDER,,Сменить каталог,,,
OPERATION,,Действие,,,
OPERATION_FAILED,,Действие не выполнено!,,,
DELETE_FOLDER,,Удалить каталог,,,
RENAME,,Переименовать,,,
CREATE_FOLDER,,Создать каталог,,,
CONFIRM_DELETE_FLIGHT_MODE,,"Вы уверены, что хотите удалить этот полетный режим?",,,
MOVE,,Переместить,,,
EDIT,,Редактировать,,,
ADD,,Добавить,,,
TELEMETRY_PORT,,Порт телеметрии,,,
WARNING,,Предупреждение,,,
ERRORS,,Ошибки,,,
OPTIONS,,Опции,,,
CONFIGURE,,Конфигурация,,,
WAITING_FOR_RECEIVER,,Ожидание приёмника,,,
PIN,,Разъём,,,
TELEMETRY,,Телеметрия,,,
RX_SETTINGS,,Настройки приёмника,,,
NO_RESPONSE_FROM_RECEIVER,,Приёмник не отвечает,,,
SBUS_OUT,,Выход SBUS,,,
SBUS_IN,,Вход SBUS,,,
TELEMETRY_25_MW,,Уменьшенная мощность телеметрии (25мВт),,,
HIGH_PWM_SPEED,,Высокая скорость PWM,,,
FLIGHT_DATA_RECORDER,,Запись полетных данных,,,
RX_HAS_NO_FLIGHT_DATA_RECORD,,Приёмник не имеет регистратора полетных данных,,,
DEVICE_CONFIG,,Конфигурация прибора,,,
CONFIRM_DELETE_TIMER,,"Вы уверены, что хотите удалить этот таймер?",,,
TIMER,,Таймер,,,
MODE,,Режим,,,
PASTE,,Вставить,,,
TIMERS,,Таймеры,,,
COPY,,Копировать,,,
