String name, String context, X20(...) / XE(S) / V20 X18RS / X14(...) / T14 / V15 All other radios
TRANSLATION_KEY,,"sk"
TRANSLATION_NAME,,"Slovensky"
TRANSLATION_FALLBACK_NAME,,"Slovensky"
TRANSLATION_FONT_SUBSET,,"latin"
SPECIAL_CHARS,,"áčéíľščžťťúýäôň_-+."
FORMULA,,"Vzorec"
CALCULATED_SENSOR,,"Vypočítaný senzor"
NAME,,"Názov"
DECIMALS,,"Desatiny"
VALUE,,"Hodnota"
SENSOR_LOST_WARNING_DELAY,,"Varovanie strateného senzoru"
WARNING_DISABLED,,"Varovanie vypnuté"
RANGE,,"Rozsah"
SPACE_WITH_SAMPLES,,"Vzoriek"
RESET,,"Reset"
TELEMETRY_SENSOR,,"Telemetrický senzor"
UNIT,,"Jednotka"
WRITE_LOGS,,"Logovať"
ID,,"ID"
CENTER,,"Stred"
SUBTRIM,,"Subtrim"
PWM_CENTER,,"PWM Stred"
NORMAL,,"Normál"
EQUAL,,"Zhodné"
UNPLUGGED,,"Odpojené"
BEHAVIOUR,,"Chovanie"
ADD_A_NEW_BEHAVIOUR,,"Pridať nové chovanie "
ADD_EXTRA_TRIM,,"Pridať extra trim"
EXTRA_TRIM,,"Extra trim"
SLOW_UP,,"Pomaly hore"
MIN,,"Min"
CURVE,,"Krivka"
MAX,,"Max"
CHANNEL,,"Kanál"
INVERT,,"Invertovať"
SLOW_DOWN,,"Pomaly dole"
INVERTED,,"Invertovaný"
FLIGHT_MODES,,"Letové režimy"
DRIVE_MODES,,"Cestné režimy"
MIX_NAME_DESCRIPTION,,"Upraviť názov mixu"
TRIGGER_ON_CONDITION,,"Podmienka spustenia"
COMMENT,,"Poznámka"
FUNCTION,,"Funkcia"
VALUES,,"Hodnoty"
ADD_A_NEW_VALUE,,"Pridať novú hodnotu"
ACTIONS,,"Akcia"
ADD_A_NEW_ACTION,,"Pridať novú akciu"
ADD_A_NEW_LOGIC_SWITCH,,"Pridať nový logický spínač"
DURATION_HIGH,,"Doba trvania aktivity"
RISING_EDGE,,"Stúpanie hrany"
DURING,,"Počas"
VALUE1,,"Hodnota 1"
VALUE_X,,"Hodnota (X)"
CHECK_INTERVAL,,"Interval kontroly"
ACTIVE_CONDITION,,"Aktívny stav"
MIN_DURATION,,"Min. doba trvania"
MAX_DURATION,,"Max. doba trvania"
DURATION_LOW,,"Doba trvaniana aktivity"
VALUE2,,"Hodnota 2"
DELAY_BEFORE_ACTIVE,,"Oneskorenie pred aktiváciou"
DURATION,,"Trvanie"
SOURCE_A,,"Zdroj (A)"
TRIGGER_OFF_CONDITION,,"Podmienka vypnutia"
DELAY_BEFORE_INACTIVE,,"Oneskorenie pred deaktiváciou"
DELAY_ON_OFF,,"Oneskorenie ON / OFF"
SOURCE,,"Zdroj"
APPLICATION_ID,,"Aplikačné ID"
PHYSICAL_ID,,"Fyzické ID"
ACTION,,"Akcia"
TRAINER,,"Tréner"
TRAINER_MODE,,"Režim tréner"
CHANNEL_RANGE,,"Rozsah kanálov"
CH,,"CH"
OUTPUTS,,"Výstupy"
LAST_MODIFICATION,,"Posledná úprava"
DESCENDING,,"Z-A"
SORT_BY,,"Triediť podľa..."
ASCENDING,,"A-Z"
CLONE,,"Klonovať"
MODEL_MATCH,,"Model ID"
MODEL_DATA_LOAD,,"Dáta modelu nahrané"
FILE_SIZE,,"Veľkosť súboru"
MODEL_SELECT,,"Výber modelu"
NO_MODELS_DIRECTORY,,"Neexistuje adresár modelov"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,,"Ste si istý že chcete odstrániť tento model?"
SUCCESS,,"Hotovo!"
CLONE_MODEL_SUCCESSFULLY,,"Model je úspešne skopírovaný"
FILENAME_TOO_LONG,,"Názov súboru je príliš dlhý!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,,"Prijímač je stále zapnutý ste si istý prepnutím modelu?"
CONFIRM_SELECT_ANOTHER_MODEL,,"Potvrďte voľbu iného modelu"
FILE_NAME,,"Názov súboru"
MODEL_TYPE,,"Typ modelu"
CONFIRM,,"Potvrdiť"
SET_CURRENT_MODEL,,"Nastaviť aktuálny model"
UNCATEGORIZED,,"Nezaradené"
CHANGE_FOLDER,,"Zmeniť adresár"
OPERATION,,"Operácia"
OPERATION_FAILED,,"Operácia zlyhala!"
DELETE_FOLDER,,"Zmazať adresár"
RENAME,,"Premenovať"
CREATE_FOLDER,,"Vytvoriť adresár"
CONFIRM_DELETE_FLIGHT_MODE,,"Potvrďte odstránenie letového režimu"
MOVE,,"Posunúť"
EDIT,,"Upraviť"
ADD,,"Pridať"
TELEMETRY_PORT,,"Port telemtrie"
WARNING,,"Varovanie"
ERRORS,,"Chyby"
OPTIONS,,"Možnosti"
CONFIGURE,,"Konfigurovať"
WAITING_FOR_RECEIVER,,"Čakám na prijímač..."
PIN,,"Pin"
TELEMETRY,,"Telemetria"
RX_SETTINGS,,"Nastavenie RX"
NO_RESPONSE_FROM_RECEIVER,,"Prijímač neodpovedá"
SBUS_OUT,,"SBUS Out"
SBUS_IN,,"SBUS In"
TELEMETRY_25_MW,,"Telemetria 25mW"
HIGH_PWM_SPEED,,"Vysoká rýchlosť PWM"
FLIGHT_DATA_RECORDER,,"Čierna skrinka"
RX_HAS_NO_FLIGHT_DATA_RECORD,,"Prijímač nemá nahrané žiadne dáta."
DEVICE_CONFIG,,"Nastavenie senzorov"
CONFIRM_DELETE_TIMER,,"Potvrďte odstránenie stopiek"
TIMER,,"Stopky"
MODE,,"Režim"
PASTE,,"Vložiť"
TIMERS,,"Stopky"
COPY,,"Kopírovať"
NO_TIMER_HINT,,"Žiadne stopky. Prosím zvolte tlačidlo pridať pre vytvorenie!"
ANTENNA,,"Anténa"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,,"Výkon bol zmenený prosím prepárujte!"
NO_RESPONSE_FROM_MODULE,,"Modul neodpovedá!"
POWER,,"Výkon"
BAUDRATE,,"Prenosová rýchlosť"
ARMING_CONDITION,,"Podmienka aktivácie"
WAITING_FOR_MODULE,,"Čakám na modul..."
TX_SETTINGS,,"Nastavenie TX"
MIXES,,"Mixér"
CHANNELS,,"Kanály"
FLIGHT_MODE,,"Letový režim"
DRIVE_MODE,,"Režim riadenia"
D,,"V"
CONFIRM_DELETE_MIX,,"Potvrďte odstránenie mixu"
CONFIRM_DELETE_SSS,,"Are you sure you want to delete %s"
NONE,,"Žiadny"
NO_MIX_HINT,,"Žiadny mix. Prosím zvoľte tlačidlo pridať pre vytvorenie!"
TYPE,,"Typ"
SHARE,,"Zdieľať"
RX,,"RX"
RACING_MODE,,"Pretekársky mód"
RANGE_CHECK,,"Kontrola dosahu"
EXTERNAL_MODULE,,"Externý modul"
BIND_OK,,"Párovanie OK"
BINDING_3DOTS,,"Párovanie..."
BIND,,"Párovať"
FAILSAFE,,"Failsafe"
INTERNAL_MODULE,,"Interný modul"
SET_FAILSAFE,,"Nastavenie failsafe"
RESET_BIND,,"Zrušenie párovania"
FACTORY_RESET,,"Továrenský reset"
RF_SYSTEM,,"RF systém"
LINKS,,"Konektivita"
OWNER_REGISTRATION_ID,,"Registračné ID vlastníka"
SELECT_DEVICE,,"Výber zariadenia"
REGISTER,,"Registrovať"
VALID_FRAME_RATE,,"VFR"
STATE,,"Stav"
PROTOCOL,,"Protokol"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,,"Skutočne chete resetovať tento prijímač?"
SET,,"Nastaviť"
EXPO,,"Expo"
UNIT_POINTS_COUNT,,"Jednotka bodov"
WEIGHT,,"Váha"
POINTS,,"Body"
OFFSET,,"Offset"
AUTO_OFFSET,,"Auto offset"
OFFSET_WHEN_ACTIVE,,"Offset keď je aktívny"
OFFSET_WHEN_INACTIVE,,"Offset keď je neaktívny"
SMOOTH,,"Vyhladenie"
POINT,,"Bod"
POINTS_COUNT,,"Počet bodov"
EASY_MODE,,"Jednoduchý režim"
LOGIC_SWITCHES,,"Logické spínače"
