String name, String context, X20(...) / XE(S) / V20(PRO), X18RS / X14(...) / T14 / V15, All other radios
TRANSLATION_KEY,,"th"
TRANSLATION_NAME,,"Thai"
TRANSLATION_FALLBACK_NAME,,"Thai"
TRANSLATION_FONT_SUBSET,,"thai"
SPECIAL_CHARS,,"_-+."
FORMULA,,"สูตร"
CALCULATED_SENSOR,,"Sensor ที่คํานวณได้"
NAME,,"ชื่อ"
DECIMALS,,"ทศนิยม"
VALUE,,"ค่า"
SENSOR_LOST_WARNING_DELAY,,"Sensor สูญเสียการหน่วงเวลาเตือน"
WARNING_DISABLED,,"คําเตือน จะถูกปิดการใช้งาน"
RANGE,,"ช่วง"
SPACE_WITH_SAMPLES,,"ตัวอย่าง"
RESET,,"Reset"
TELEMETRY_SENSOR,,"Sensor วัดทางไกล"
UNIT,,"หน่วย"
WRITE_LOGS,,"เขียนบันทึก Log"
ID,,"ID"
CENTER,,"Center"
SUBTRIM,,"Subtrim"
PWM_CENTER,,"PWM center"
NORMAL,,"ปกติ"
EQUAL,,"เท่ากัน"
UNPLUGGED,,"ถอดปลั๊ก"
BEHAVIOUR,,"ลักษณะการทํางาน"
ADD_NEW_BEHAVIOUR,,"เพิ่มลักษณะการทํางานใหม่"
ADD_EXTRA_TRIM,,"เพิ่ม Extra Trim"
EXTRA_TRIM,,"Extra trim"
SLOW_UP,,"เบา"
MIN,,"นาที"
CURVE,,"Curve"
MAX,,"สูงสุด"
CHANNEL,,"Channel"
INVERT,,"Invert"
SLOW_DOWN,,"ช้าลง"
INVERTED,,"Inverted"
FLIGHT_MODES,,"Flight modes"
DRIVE_MODES,,"Drive modes"
MIX_NAME_DESCRIPTION,,"แก้ไขชื่อสําหรับ Mix"
TRIGGER_ON_CONDITION,,"เงื่อนไขที่จะเปิด Trigger "
COMMENT,,"ติชม"
FUNCTION,,"Function"
VALUES,,"Values"
ADD_NEW_VALUE,,"เพิ่ม Value ค่าใหม่"
ACTIONS,,"ทํางาน"
ADD_NEW_ACTION,,"เพิ่มการทํางานใหม่"
DURATION_HIGH,,"ระยะเวลาใช้งาน"
RISING_EDGE,,"Rising edge"
DURING,,"ระหว่าง"
VALUE1,,"ค่า 1"
VALUE_X,,"ค่า (X)"
CHECK_INTERVAL,,"ตรวจสอบช่วงเวลา"
ACTIVE_CONDITION,,"สภาพใช้งาน"
MIN_DURATION,,"ระยะเวลาขั้นต่ำ"
MAX_DURATION,,"ระยะเวลาสูงสุด"
DURATION_LOW,,"ระยะเวลาไม่ใช้งาน"
VALUE2,,"ค่า 2"
DELAY_BEFORE_ACTIVE,,"หน่วงเวลาก่อนใช้งาน"
DURATION,,"ระยะเวลา"
SOURCE_A,,"แหล่งที่มา (A)"
TRIGGER_OFF_CONDITION,,"เงื่อนไขที่จะปิด Trigger "
DELAY_BEFORE_INACTIVE,,"หน่วงเวลาก่อน จะไม่ได้ใช้งาน"
DELAY_ON_OFF,,"หน่วงเวลา ON / OFF"
SOURCE,,"แหล่งที่มา"
APPLICATION_ID,,"Application ID"
PHYSICAL_ID,,"Physical ID"
ACTION,,"Action"
TRAINER,,"Trainer"
TRAINER_MODE,,"Trainer mode"
CHANNEL_RANGE,,"Channel range"
CH,,"CH"
OUTPUTS,,"Outputs"
LAST_MODIFICATION,,"แก้ไขครั้งหลังสุด"
DESCENDING,,"Descending"
SORT_BY,,"Sort by..."
ASCENDING,,"Ascending"
CLONE,,"Clone"
MODEL_MATCH,,"Model ID"
MODEL_DATA_LOAD,,"Model data load"
FILE_SIZE,,"ขนาดของ File"
MODEL_SELECT,,"เลือก Model"
NO_MODELS_DIRECTORY,,"ไม่มี Model ใน Directory นี้"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,,"แน่ใจหรือไม่ว่าต้องการลบ Model นี้"
SUCCESS,,"ทำสําเร็จแล้ว!"
CLONE_MODEL_SUCCESSFULLY,,"Model Clone สําเร็จแล้ว"
FILENAME_TOO_LONG,,"ชื่อไฟล์ยาวเกินไปนะคะ!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,,"Receiver ยังคงต่อเชื่อมอยู่ แน่ใจหรือว่าจะเปลื่ยนเป็นลำอื่น"
CONFIRM_SELECT_ANOTHER_MODEL,,"แน่ใจหรือไม่ ว่าต้องการเลือกลำอื่น"
FILE_NAME,,"ชื่อ Filename"
MODEL_TYPE,,"Model type"
CONFIRM,,"ยืนยัน"
SET_CURRENT_MODEL,,"ตั้งค่า Model ที่ใช้งานอยู่"
UNCATEGORIZED,,"ไม่มีหมวดหมู่"
CHANGE_FOLDER,,"เปลี่ยน Folder"
OPERATION,,"ดําเนินการ"
OPERATION_FAILED,,"ดําเนินการล้มเหลว!"
DELETE_FOLDER,,"ลบ Folder นี้ทิ้ง"
