String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
TRANSLATION_KEY,,"tr"
TRANSLATION_NAME,,"Türkçe"
TRANSLATION_FALLBACK_NAME,,"English"
TRANSLATION_FONT_SUBSET,,""
SPECIAL_CHARS,,"_-+."
FORMULA,,"Formül"
CALCULATED_SENSOR,,"Hesaplanmış sensör"
NAME,,"İsim"
DECIMALS,,"Ondalık"
VALUE,,"Değer"
SENSOR_LOST_WARNING_DELAY,,"Sensör kaybı uyarı gecikmesi"
WARNING_DISABLED,,"Uyarı devre dışı"
RANGE,,"Aralık"
SPACE_WITH_SAMPLES,," örnek"
RESET,,"Resetle"
TELEMETRY_SENSOR,,"Telemetri sensörü"
UNIT,,"Birim"
WRITE_LOGS,,"Log Al"
ID,,"ID"
CENTER,,"Merkez"
SUBTRIM,,"Sub trim"
PWM_CENTER,,"PWM merkezi"
NORMAL,,"Normal"
EQUAL,,"Eşit"
UNPLUGGED,,"Takılı değil"
BEHAVIOUR,,"Davranış"
ADD_NEW_BEHAVIOUR,,"Yeni davranış ekle"
ADD_EXTRA_TRIM,,"Ekstra trim ekle"
EXTRA_TRIM,,"Ekstra trim"
SLOW_UP,,"Yükselişi yavaşlat"
MIN,,"Min"
CURVE,,"Eğri"
MAX,,"Maks"
CHANNEL,,"Kanal"
INVERT,,"Ters çevir"
SLOW_DOWN,,"Alçalışı Yavaşlat"
INVERTED,,"Ters çevrilmiş"
FLIGHT_MODES,,"Uçuş modları"
MIX_FLIGHT_MODES_DESCRIPTION,,""
MIX_NAME_DESCRIPTION,,"Mix adını düzenle"
TRIGGER_ON_CONDITION,,"Tetikleme ön koşulu"
COMMENT,,"Yorum"
FUNCTION,,"Fonksiyon"
VALUES,,"Değerler"
ADD_NEW_VALUE,,"+ Yeni değer ekle"
ACTIONS,,"Eylemler"
ADD_NEW_ACTION,,"+ Yeni eylem ekle"
DURATION_HIGH,,"Aktif süre"
RISING_EDGE,,"Yükselen kenar"
DURING,,"Sırasında"
VALUE1,,"Değer 1"
VALUE_X,,"Değer (X)"
CHECK_INTERVAL,,"Kontrol aralığı"
ACTIVE_CONDITION,,"Aktifleşme koşulu"
MIN_DURATION,,"Min süre"
MAX_DURATION,,"Maks süre"
DURATION_LOW,,"Pasif süre"
VALUE2,,"Değer 2"
DELAY_BEFORE_ACTIVE,,"Aktif olmadan önce gecikme"
DURATION,,"Süre"
SOURCE_A,,"Kaynak (A)"
TRIGGER_OFF_CONDITION,,"Tetikleme OFF koşulu"
DELAY_BEFORE_INACTIVE,,"Pasif olmadan önce gecikme"
DELAY_ON_OFF,,"ON / OFF gecikmesi"
SOURCE,,"Kaynak"
APPLICATION_ID,,"Uygulama ID"
PHYSICAL_ID,,"Fiziksel ID"
ACTION,,"Eylem"
TRAINER,,"Eğitmen"
TRAINER_MODE,,"Eğitmen modu"
CHANNEL_RANGE,,"Kanal aralığı"
CH,,"CH"
OUTPUTS,,"Çıkışlar"
LAST_MODIFICATION,,"Son değişiklik","Son değişiklik"
DESCENDING,,"Descending"
SORT_BY,,"Sort by..."
ASCENDING,,"Ascending"
CLONE,,"Klonla"
MODEL_MATCH,,"Model ID"
MODEL_DATA_LOAD,,"Model verisi yükle"
FILE_SIZE,,"Dosya boyutu"
MODEL_SELECT,,"Model seç"
NO_MODELS_DIRECTORY,,"Model dizini yok!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,,"Bu modeli silmek istediğinizden emin misiniz?"
SUCCESS,,"Başarılı!"
CLONE_MODEL_SUCCESSFULLY,,"Model başarıyla kopyalandı!"
FILENAME_TOO_LONG,,"Dosya adı çok uzun!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,,"Alıcı hala açık, başka bir modeli seçmek istediğinizden emin misiniz?"
CONFIRM_SELECT_ANOTHER_MODEL,,"Başka bir modeli seçmek istediğinizden emin misiniz?"
FILE_NAME,,"Dosya adı"
MODEL_TYPE,,"Model tipi"
CONFIRM,,"Onayla"
SET_CURRENT_MODEL,,"Mevcut modeli ayarla"
UNCATEGORIZED,,"Kategorisiz"
CHANGE_FOLDER,,"Klasörü değiştir"
OPERATION,,"İşlem"
OPERATION_FAILED,,"İşlem başarısız!"
DELETE_FOLDER,,"Klasörü sil"
RENAME,,"Rename",
CREATE_FOLDER,,"Klasör oluştur"
CONFIRM_DELETE_FLIGHT_MODE,,"Bu uçuş modunu silmek istediğinizden emin misiniz?"
MOVE,,"Taşı"
EDIT,,"Düzenle"
ADD,,"Ekle"
TELEMETRY_PORT,,"Telemetri portu"
WARNING,,"Uyarı"
ERRORS,,"Hatalar"
OPTIONS,,"Seçenekler"
CONFIGURE,,"Yapılandır"
WAITING_FOR_RECEIVER,,"Alıcı bekleniyor ..."
PIN,,"Pin"
TELEMETRY,,"Telemetri"
RX_SETTINGS,,"RX ayarları"
NO_RESPONSE_FROM_RECEIVER,,"Alıcıdan yanıt yok"
SBUS_OUT,,"SBUS çıkışı"
SBUS_IN,,"SBUS girişi"
TELEMETRY_25_MW,,"Azaltılmış telemetri gücü (25mW)"
HIGH_PWM_SPEED,,"Yüksek PWM hızı"
FLIGHT_DATA_RECORDER,,"Uçuş veri kaydedici"
RX_HAS_NO_FLIGHT_DATA_RECORD,,"Alıcının uçuş veri kaydedicisi yok."
DEVICE_CONFIG,,"Cihaz yapılandırması"
CONFIRM_DELETE_TIMER,,"Bu zamanlayıcıyı silmek istediğinizden emin misiniz?"
TIMER,,"Zamanlayıcı"
MODE,,"Mod"
PASTE,,"Yapıştır"
TIMERS,,"Zamanlayıcılar"
COPY,,"Kopyala"
NO_TIMER_HINT,,"Henüz zamanlayıcı yok. Oluşturmak için ekle düğmesine basın!"
ANTENNA,,"Anten"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,,"Güç değiştirildi, lütfen yeniden bağlayın!"
NO_RESPONSE_FROM_MODULE,,"Modülden yanıt yok!"
POWER,,"Güç"
BAUDRATE,,"Baudrate"
WAITING_FOR_MODULE,,"Modül bekleniyor ..."
TX_SETTINGS,,"TX ayarları"
MIXES,,"Mixler"
CHANNELS,,"Kanallar"
FLIGHT_MODE,,"Uçuş modu"
D,,"D"
CONFIRM_DELETE_MIX,,"Bu mixi silmek istediğinizden emin misiniz?"
CONFIRM_DELETE_SSS,,"%s öğesini silmek istediğinizden emin misiniz?"
NONE,,"Hiçbiri"
NO_MIX_HINT,,"Henüz mix yok. Oluşturmak için ekle düğmesine basın!"
TYPE,,"Tür"
SHARE,,"Paylaş"
RX,,"RX"
RACING_MODE,,"Yarış modu"
RANGE_CHECK,,"Menzil kontrolü","Menzil"
EXTERNAL_MODULE,,"Harici modül"
BIND_OK,,"Bağlandı"
BINDING_3DOTS,,"Bağlanıyor ..."
BIND,,"Bağla"
FAILSAFE,,"Failsafe"
INTERNAL_MODULE,,"Dahili modül"
SET_FAILSAFE,,"Failsafe ayarla"
RESET_BIND,,"Bağlantıyı resetle"
FACTORY_RESET,,"Fabrika ayarlarına dön"
RF_SYSTEM,,"RF sistemi"
OWNER_REGISTRATION_ID,,"Sahip kayıt ID'si"
SELECT_DEVICE,,"Cihaz seç"
REGISTER,,"Kaydet"
VALID_FRAME_RATE,,"VFR"
STATE,,"Durum"
PROTOCOL,,"Protokol"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,,"Bu alıcıyı resetlemek istediğinizden emin misiniz?"
SET,,"Ayarla"
EXPO,,"Expo"
UNIT_POINTS_COUNT,," noktalar"
WEIGHT,,"Ağırlık"
POINTS,,"Puanlar"
OFFSET,,"Ofset"
AUTO_OFFSET,,"Otomatik ofset"
OFFSET_WHEN_ACTIVE,,"Aktifken ofset"
OFFSET_WHEN_INACTIVE,,"Pasifken ofset"
SMOOTH,,"Yumuşak"
POINT,,"Nokta"
POINTS_COUNT,,"Nokta sayısı"
EASY_MODE,,"Kolay mod"
LOGIC_SWITCHES,,"Mantık anahtarları"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,,"Bu mantık anahtarını silmek istediğinizden emin misiniz?"
NO_LOGIC_SWITCH_HINT,,"Henüz mantık anahtarı yok. Oluşturmak için ekle düğmesine basın!"
START_CONDITION,,"Başlama koşulu"
STOP_CONDITION,,"Durdurma koşulu"
TIMER_EDIT,,"Zamanlayıcı düzenle"
PERSISTENT,,"Kalıcı"
START_VALUE,,"Başlangıç değeri","Başla"
AUDIO_ACTIONS,,"Ses eylemleri"
AUDIO_ACTION,,"Ses eylemi"
ADD_A_NEW_AUDIO_ACTION,,"Yeni bir ses eylemi ekle"
